State,County,Population 18 to 24 years,Less than high school graduate (Population 18 to 24 years),High school graduate (Population 18 to 24 years),Some college or associate's degree (Population 18 to 24 years),Bachelor's degree or higher (Population 18 to 24 years),Population 25 years and over,Less than 9th grade (Population 25 years and over),9th to 12th grade (Population 25 years and over),High school graduate (Population 25 years and over),Some college no degree (Population 25 years and over),Associate's degree (Population 25 years and over),Bachelor's degree (Population 25 years and over),Graduate or professional degree (Population 25 years and over),High school graduate or higher (Population 25 years and over),Bachelor's degree or higher (Population 25 years and over),Population 25 to 34 years,High school graduate or higher (Population 25 to 34 years),Bachelor's degree or higher (Population 25 to 34 years),Population 35 to 44 years,High school graduate or higher (Population 35 to 44 years),Bachelor's degree or higher (Population 35 to 44 years),Population 45 to 64 years,High school graduate or higher (Population 45 to 64 years),Bachelor's degree or higher (Population 45 to 64 years),Population 65 and over,High school graduate or higher (Population 65 and over),Bachelor's degree or higher (Population 65 and over),Less than high school grad poverty rate (age 25+),High school grad poverty rate (age 25+),Some college or associate's degree poverty rate (age 25+),Bachelor's degree or higher poverty rate (age 25+),Population 25 years and over with earnings median earnings,Less than high school grad median earnings,High school grad median earnings,Some college or associate's degree median earnings,Bachelor's degree median earnings,Graduate or professional degree median earnings,FID
Virginia,Madison,898,11.0%,43.4%,36.9%,8.7%,"9,396",6.8%,12.9%,34.8%,20.1%,4.7%,12.2%,8.5%,80.4%,20.7%,"1,289",83.6%,18.1%,"1,705",90.0%,16.2%,"4,232",83.5%,27.3%,"2,170",64.8%,12.7%,33.0%,7.7%,2.0%,2.2%,"33,883","21,929","31,427","31,631","53,199","55,625",2955
Virginia,Mathews,602,16.8%,41.5%,40.9%,0.8%,"6,695",5.1%,10.3%,37.7%,22.6%,3.6%,11.3%,9.3%,84.5%,20.6%,615,90.9%,17.7%,"1,013",86.1%,17.1%,"2,896",87.8%,21.9%,"2,171",77.7%,21.5%,19.6%,8.6%,1.1%,2.9%,"36,250","22,383","33,098","34,524","41,719","53,393",2962
Virginia,Mecklenburg,"2,359",18.2%,42.5%,33.2%,6.1%,"23,871",8.8%,16.0%,36.7%,19.0%,6.1%,8.6%,4.8%,75.2%,13.4%,"3,403",81.0%,12.9%,"4,046",80.1%,13.5%,"9,807",78.5%,15.3%,"6,615",64.3%,10.8%,28.3%,15.1%,13.4%,4.1%,"24,325","15,783","21,560","26,831","40,037","57,563",2964
Virginia,Middlesex,638,21.3%,54.1%,23.4%,1.3%,"8,400",4.5%,7.9%,33.6%,19.2%,7.3%,17.2%,10.3%,87.6%,27.5%,630,86.2%,20.0%,"1,362",90.3%,22.3%,"3,775",88.7%,30.7%,"2,633",85.0%,27.3%,25.0%,10.0%,6.3%,2.7%,"26,082","16,851","24,051","25,897","44,366","52,865",2965
Virginia,Montgomery,"29,576",2.2%,13.9%,73.5%,10.4%,"48,009",4.7%,7.2%,24.2%,17.4%,7.2%,18.9%,20.5%,88.1%,39.4%,"11,802",95.3%,47.7%,"9,824",93.4%,42.4%,"17,647",88.8%,38.0%,"8,736",71.0%,27.4%,20.3%,8.9%,10.7%,4.1%,"32,718","20,142","26,987","30,500","38,615","52,175",2966
Virginia,Nelson,915,9.3%,63.4%,14.9%,12.5%,"11,197",10.0%,12.3%,32.5%,17.8%,4.5%,14.0%,8.9%,77.7%,22.9%,"1,550",82.3%,31.6%,"1,834",83.9%,15.9%,"4,991",81.0%,27.7%,"2,822",65.5%,14.2%,23.0%,11.8%,4.4%,4.4%,"32,486","20,909","30,326","31,883","45,018","46,615",2968
Virginia,New Kent,"1,096",16.0%,34.5%,45.2%,4.4%,"12,561",4.0%,9.6%,35.3%,20.4%,8.0%,16.7%,5.9%,86.3%,22.6%,"1,870",87.0%,25.7%,"2,847",88.7%,24.0%,"5,886",88.2%,23.7%,"1,958",76.8%,14.6%,8.9%,3.8%,4.4%,0.7%,"39,409","28,595","34,119","41,893","50,508","70,781",2971
Virginia,Northampton,919,29.3%,54.4%,15.5%,0.9%,"9,063",10.1%,11.8%,36.0%,17.6%,5.6%,11.8%,7.0%,78.0%,18.8%,"1,253",78.1%,14.0%,"1,316",80.3%,21.9%,"3,762",86.1%,21.3%,"2,732",65.7%,16.1%,32.6%,19.1%,8.1%,3.2%,"28,160","15,640","24,343","30,938","45,000","53,889",2982
Virginia,Northumberland,611,18.2%,52.9%,27.0%,2.0%,"9,702",5.6%,10.3%,31.0%,26.2%,4.7%,13.5%,8.8%,84.1%,22.3%,964,96.7%,15.8%,"1,202",92.3%,20.1%,"3,987",82.6%,22.9%,"3,549",79.7%,24.0%,14.8%,12.0%,4.8%,2.0%,"25,367","17,929","22,460","28,112","27,059","33,646",2983
Virginia,Nottoway,"1,321",25.7%,41.2%,32.8%,0.4%,"11,175",7.9%,19.3%,37.9%,16.7%,6.7%,5.8%,5.8%,72.8%,11.6%,"1,916",80.6%,12.6%,"2,343",73.8%,8.9%,"4,254",76.8%,13.5%,"2,662",60.0%,10.3%,30.3%,10.5%,6.5%,7.0%,"30,306","25,411","27,895","31,748","38,235","51,930",2984
Virginia,Orange,"2,148",18.5%,50.8%,28.1%,2.7%,"23,007",5.8%,10.7%,34.2%,22.0%,5.8%,15.1%,6.4%,83.5%,21.5%,"3,515",90.7%,24.6%,"4,605",89.2%,21.3%,"9,157",84.3%,23.3%,"5,730",73.0%,17.0%,26.2%,7.4%,4.4%,3.7%,"34,732","18,075","30,392","36,215","46,263","52,200",2985
Virginia,Page,"1,813",16.9%,47.2%,32.8%,3.1%,"16,968",10.0%,17.5%,42.1%,15.0%,4.3%,7.4%,3.8%,72.5%,11.1%,"2,647",88.2%,8.2%,"3,406",78.5%,13.6%,"6,790",74.4%,13.1%,"4,125",54.6%,7.8%,17.3%,9.4%,4.3%,5.2%,"27,926","20,885","25,795","30,996","44,082","51,726",2986
Virginia,Patrick,"1,429",7.5%,45.1%,45.0%,2.4%,"13,542",12.4%,13.5%,36.8%,18.6%,9.2%,7.3%,2.3%,74.1%,9.5%,"1,585",88.8%,12.8%,"2,532",81.6%,10.0%,"5,603",81.3%,7.3%,"3,822",52.6%,11.1%,28.1%,9.5%,7.3%,3.9%,"25,682","17,220","25,131","26,633","38,347","52,755",2987
Virginia,Pittsylvania,"4,509",15.9%,44.6%,37.0%,2.6%,"44,887",9.9%,14.1%,35.9%,19.8%,7.5%,8.8%,4.0%,76.0%,12.8%,"6,380",87.8%,21.6%,"8,655",86.3%,12.5%,"19,445",79.9%,12.1%,"10,407",53.1%,9.1%,26.5%,11.7%,7.0%,3.7%,"28,680","18,069","24,149","32,223","37,616","41,344",2988
Virginia,Powhatan,977,39.3%,53.1%,6.0%,1.5%,"20,443",5.4%,15.3%,31.5%,19.8%,6.0%,14.0%,8.0%,79.3%,21.9%,"4,114",69.5%,18.6%,"4,872",84.5%,20.0%,"8,360",81.8%,25.9%,"3,097",77.7%,18.6%,15.8%,4.8%,4.6%,1.5%,"36,581","12,117","26,921","39,714","55,366","58,375",2989
Virginia,Prince Edward,"6,116",8.8%,27.6%,59.6%,4.1%,"12,569",6.9%,12.0%,43.3%,15.5%,3.9%,10.9%,7.6%,81.2%,18.5%,"1,739",95.0%,28.9%,"2,616",87.5%,19.3%,"5,067",77.2%,17.9%,"3,147",74.5%,13.1%,22.1%,7.4%,6.0%,2.3%,"27,899","16,786","26,920","31,388","31,942","48,077",2990
Virginia,Prince George,"3,988",13.6%,50.2%,31.4%,4.8%,"22,984",4.6%,9.3%,37.1%,25.7%,6.2%,11.0%,6.2%,86.1%,17.2%,"4,599",85.3%,16.1%,"5,547",90.7%,13.6%,"9,461",88.8%,20.4%,"3,377",72.1%,15.3%,13.1%,6.2%,4.4%,0.7%,"39,172","23,500","32,292","43,219","44,874","63,105",2991
Virginia,Prince William,"32,994",17.5%,34.5%,38.0%,10.0%,"235,845",5.7%,5.9%,22.2%,21.8%,7.0%,22.8%,14.7%,88.4%,37.5%,"56,490",85.3%,34.1%,"63,879",88.4%,39.0%,"91,239",91.5%,40.7%,"24,237",84.2%,29.1%,11.4%,5.6%,3.0%,1.7%,"48,804","27,467","34,745","46,615","65,392","89,169",2992
Virginia,Pulaski,"2,471",11.8%,41.0%,39.6%,7.6%,"25,578",7.3%,13.6%,33.7%,20.3%,11.2%,9.7%,4.2%,79.1%,13.9%,"3,867",88.6%,15.3%,"5,009",84.8%,15.4%,"10,717",83.1%,14.3%,"5,985",60.9%,10.9%,24.5%,15.8%,7.0%,1.5%,"29,108","21,250","24,442","31,173","38,227","51,000",2993
Virginia,Rappahannock,495,10.9%,32.1%,43.4%,13.5%,"5,355",10.0%,10.2%,22.8%,16.0%,3.6%,23.5%,13.9%,79.8%,37.4%,539,88.1%,22.4%,917,85.7%,55.0%,"2,582",83.4%,38.8%,"1,317",65.1%,28.5%,24.6%,9.0%,5.7%,2.2%,"41,663","30,500","27,063","35,313","70,712","93,958",2994
Virginia,Richmond County,841,24.6%,40.5%,31.7%,3.1%,"6,833",10.3%,15.1%,41.2%,17.7%,5.9%,7.0%,2.8%,74.6%,9.8%,989,75.8%,7.3%,"1,496",74.9%,8.0%,"2,648",79.6%,13.3%,"1,700",65.9%,7.4%,25.6%,11.7%,10.1%,0.4%,"28,409","15,595","29,232","30,288","37,904","43,750",2995
Virginia,Roanoke County,"6,687",12.1%,30.0%,47.7%,10.2%,"64,583",3.4%,6.9%,26.0%,22.5%,8.6%,21.2%,11.3%,89.7%,32.6%,"9,311",95.6%,40.5%,"12,882",93.5%,34.6%,"27,290",93.0%,35.9%,"15,100",76.7%,19.9%,9.3%,5.2%,4.2%,2.2%,"38,864","24,402","30,352","35,913","45,797","62,428",2996
Virginia,Rockbridge,"1,689",8.1%,43.4%,43.9%,4.7%,"16,132",8.4%,12.0%,35.1%,16.8%,6.0%,14.2%,7.5%,79.6%,21.8%,"2,133",87.4%,14.5%,"2,804",84.2%,26.7%,"6,825",84.5%,24.2%,"4,370",65.2%,18.4%,23.2%,8.7%,6.9%,3.9%,"26,775","19,087","27,295","25,815","29,276","59,071",2997
Virginia,Rockingham,"6,459",16.3%,37.1%,39.1%,7.5%,"50,489",9.2%,12.9%,36.6%,13.9%,5.4%,13.7%,8.2%,77.9%,21.9%,"8,336",84.8%,25.5%,"10,125",87.2%,24.1%,"20,644",77.7%,21.3%,"11,384",65.1%,18.3%,15.2%,10.5%,3.5%,3.7%,"31,593","22,104","29,309","33,258","41,599","53,765",2998
Virginia,Russell,"2,161",7.8%,42.9%,47.0%,2.3%,"20,681",16.0%,12.6%,35.4%,17.3%,7.9%,7.7%,3.0%,71.4%,10.7%,"3,346",90.2%,9.2%,"3,882",86.0%,18.0%,"8,792",69.2%,11.0%,"4,661",50.0%,5.2%,26.6%,14.9%,10.3%,3.4%,"25,404","20,000","22,842","25,627","39,323","41,788",2999
Virginia,Scott,"1,783",8.9%,42.9%,45.2%,3.0%,"16,807",15.3%,11.1%,39.4%,14.9%,9.0%,6.4%,3.9%,73.6%,10.3%,"2,313",88.9%,10.9%,"3,228",86.6%,11.8%,"6,831",75.9%,11.7%,"4,435",52.5%,6.8%,33.7%,13.5%,9.9%,7.7%,"27,038","17,361","24,874","27,428","37,301","46,287",2585
Virginia,Shenandoah,"3,006",11.1%,50.6%,31.6%,6.6%,"29,234",5.9%,11.4%,40.0%,19.8%,5.4%,11.0%,6.5%,82.7%,17.5%,"4,248",88.6%,19.3%,"5,572",86.9%,19.0%,"11,907",85.3%,16.4%,"7,507",71.9%,17.1%,19.3%,8.4%,6.0%,3.4%,"32,018","21,854","28,416","35,666","40,233","49,405",2594
Virginia,Smyth,"2,477",18.2%,42.4%,32.2%,7.2%,"22,907",11.2%,13.1%,36.4%,16.5%,8.1%,10.0%,4.6%,75.7%,14.6%,"3,500",88.2%,18.9%,"4,466",87.1%,17.2%,"9,181",79.2%,16.2%,"5,760",53.7%,7.6%,27.6%,13.3%,12.4%,3.0%,"27,848","23,432","25,773","26,458","34,537","42,500",2600
Virginia,Southampton,"1,480",27.2%,34.1%,36.1%,2.6%,"13,077",10.9%,15.8%,32.0%,20.8%,7.9%,9.1%,3.5%,73.4%,12.6%,"1,873",83.4%,13.0%,"2,494",84.6%,15.0%,"5,930",74.7%,12.7%,"2,780",53.9%,10.0%,25.7%,10.2%,11.7%,3.2%,"28,633","17,079","26,861","29,965","46,771","51,161",2608
Virginia,Spotsylvania,"9,792",14.5%,42.9%,34.7%,7.9%,"75,976",3.4%,8.1%,29.5%,22.0%,7.1%,19.0%,10.9%,88.5%,29.9%,"14,635",89.2%,26.3%,"19,319",90.8%,32.4%,"30,987",90.5%,32.5%,"11,035",77.8%,23.0%,18.1%,5.7%,5.1%,1.4%,"44,348","24,657","34,593","43,401","61,527","76,402",2619
Virginia,Stafford,"11,608",14.2%,35.1%,32.6%,18.1%,"76,116",2.5%,6.0%,26.6%,20.8%,8.8%,21.2%,14.2%,91.5%,35.4%,"15,056",91.7%,34.5%,"20,843",93.9%,38.1%,"31,684",93.5%,37.2%,"8,533",78.3%,23.2%,12.5%,4.1%,2.7%,1.4%,"50,962","25,363","36,343","48,175","67,464","90,713",2629
Virginia,Surry,662,26.4%,48.3%,16.8%,8.5%,"4,784",10.1%,11.2%,39.4%,20.2%,5.6%,7.8%,5.8%,78.8%,13.6%,543,92.6%,18.4%,922,84.4%,13.0%,"2,234",79.9%,11.6%,"1,085",64.7%,15.8%,14.9%,2.9%,2.3%,1.8%,"35,795","27,045","31,120","40,991","43,906","43,472",2636
Virginia,Sussex,"1,676",29.1%,37.6%,26.2%,7.1%,"8,373",15.4%,16.8%,38.5%,15.3%,4.0%,6.3%,3.7%,67.8%,10.0%,"1,417",71.4%,5.6%,"1,762",75.9%,10.1%,"3,457",69.4%,12.1%,"1,737",53.2%,9.3%,39.1%,12.6%,6.7%,4.0%,"22,426","12,493","22,608","24,263","46,571","41,601",2647
Virginia,Tazewell,"3,368",19.7%,30.3%,45.2%,4.9%,"32,115",11.9%,12.5%,33.1%,20.3%,7.8%,10.1%,4.2%,75.6%,14.3%,"5,024",87.1%,17.3%,"5,824",85.8%,11.8%,"13,716",77.0%,16.4%,"7,551",57.4%,10.6%,27.2%,12.7%,12.8%,2.8%,"26,641","20,613","21,999","24,193","37,705","58,097",2656
Virginia,Warren,"3,067",13.1%,36.1%,44.0%,6.9%,"24,876",6.1%,10.6%,36.7%,19.7%,5.5%,13.2%,8.1%,83.3%,21.4%,"4,219",89.4%,22.1%,"5,722",90.0%,20.0%,"10,294",85.5%,22.6%,"4,641",64.8%,19.7%,17.0%,7.2%,8.1%,2.2%,"37,823","21,228","35,677","38,860","50,553","57,676",2662
Virginia,Washington,"4,307",10.0%,34.6%,46.9%,8.6%,"39,200",8.5%,11.1%,32.6%,19.6%,7.6%,13.4%,7.1%,80.4%,20.5%,"6,019",91.1%,29.5%,"7,478",88.8%,20.7%,"16,301",81.5%,21.2%,"9,402",65.0%,13.5%,23.6%,13.2%,9.0%,4.0%,"28,687","17,608","22,560","30,117","38,125","51,810",2667
Virginia,Westmoreland,"1,187",28.4%,37.7%,28.6%,5.3%,"12,494",6.8%,16.6%,35.3%,19.4%,5.9%,8.5%,7.5%,76.5%,15.9%,"1,741",82.7%,15.0%,"1,983",84.6%,12.6%,"5,294",76.9%,17.5%,"3,476",68.3%,16.0%,18.3%,10.5%,5.7%,0.9%,"31,110","24,552","27,153","35,079","43,462","61,924",2684
Virginia,Wise,"4,108",21.2%,30.1%,42.7%,6.0%,"28,720",13.1%,16.6%,34.4%,18.8%,5.8%,7.9%,3.5%,70.3%,11.3%,"5,590",82.0%,13.8%,"5,754",75.7%,12.8%,"11,580",72.1%,11.2%,"5,796",50.2%,7.8%,25.7%,14.0%,13.9%,3.7%,"25,992","18,444","23,802","24,935","40,208","44,407",2695
Virginia,Wythe,"2,067",12.6%,41.7%,35.3%,10.4%,"20,699",10.0%,12.9%,33.2%,20.5%,9.3%,9.3%,4.6%,77.0%,14.0%,"3,266",91.1%,14.7%,"4,068",85.7%,13.3%,"8,440",77.5%,15.8%,"4,925",59.7%,11.0%,24.2%,9.7%,11.1%,3.4%,"25,546","14,467","24,106","25,964","34,751","51,094",2699
Virginia,York,"5,418",9.7%,32.3%,44.9%,13.1%,"42,288",1.8%,3.6%,20.0%,22.6%,10.5%,23.4%,18.1%,94.5%,41.5%,"6,430",97.1%,44.2%,"9,680",96.7%,39.6%,"18,776",96.9%,46.1%,"7,402",83.3%,30.0%,12.0%,5.0%,2.8%,1.2%,"45,191","18,465","30,558","41,643","50,485","80,135",2709
Virginia,Alexandria,"10,144",14.0%,26.4%,24.6%,35.0%,"101,028",4.6%,4.5%,12.7%,13.7%,4.2%,31.3%,29.1%,90.9%,60.4%,"32,119",90.7%,64.5%,"23,763",92.0%,62.4%,"32,844",93.0%,60.7%,"12,302",84.1%,44.5%,18.7%,12.2%,6.9%,2.8%,"54,881","21,335","29,366","41,035","61,182","87,590",2712
Virginia,Bedford City,515,10.5%,66.8%,15.5%,7.2%,"4,160",5.8%,9.7%,32.3%,22.3%,9.1%,12.9%,7.9%,84.5%,20.8%,570,94.7%,29.1%,813,87.9%,21.2%,"1,681",88.1%,23.7%,"1,096",71.0%,12.0%,21.7%,4.5%,17.2%,3.0%,"27,456","18,147","21,625","31,069","29,612","52,083",2713
Virginia,Bristol,"1,547",16.6%,25.0%,47.2%,11.2%,"12,456",7.6%,12.6%,29.8%,21.7%,8.5%,13.6%,6.1%,79.8%,19.7%,"2,079",89.6%,26.5%,"2,292",85.5%,19.1%,"4,678",84.2%,22.3%,"3,407",63.8%,12.4%,36.5%,19.4%,16.4%,1.3%,"25,129","12,171","20,186","26,089","33,095","46,726",2716
Virginia,Buena Vista,946,6.8%,42.6%,34.8%,15.9%,"4,268",13.8%,13.5%,34.4%,15.7%,6.2%,9.7%,6.8%,72.8%,16.5%,587,80.4%,23.3%,885,79.5%,12.4%,"1,668",81.3%,19.6%,"1,128",50.9%,11.7%,17.5%,20.1%,10.1%,0.0%,"29,813","16,157","29,348","30,139","35,688","50,529",2720
Virginia,Charlottesville,"12,169",5.1%,15.4%,63.5%,16.0%,"23,696",6.3%,8.5%,19.9%,15.2%,3.4%,21.6%,25.0%,85.2%,46.7%,"7,183",94.2%,65.7%,"4,320",88.5%,49.6%,"8,091",81.4%,34.5%,"4,102",73.6%,34.2%,34.6%,13.8%,11.5%,8.6%,"31,971","15,733","26,489","30,201","36,021","48,832",2722
Virginia,Chesapeake,"19,859",15.7%,35.0%,41.3%,8.0%,"141,347",2.7%,8.0%,27.4%,25.3%,8.7%,17.5%,10.4%,89.3%,27.9%,"26,967",93.0%,27.9%,"32,875",92.9%,32.8%,"59,505",91.0%,30.0%,"22,000",74.7%,15.0%,16.2%,6.2%,4.2%,2.0%,"40,340","23,337","32,907","37,947","51,658","67,027",2724
Virginia,Colonial Heights,"1,547",15.5%,47.3%,33.8%,3.4%,"12,075",3.2%,8.7%,38.1%,24.4%,5.6%,13.4%,6.6%,88.1%,20.0%,"1,962",90.8%,22.0%,"2,170",92.9%,23.2%,"4,639",92.6%,20.0%,"3,304",77.0%,16.6%,10.8%,6.4%,3.2%,1.2%,"35,438","22,011","29,320","38,581","43,151","51,667",2727
Virginia,Covington,544,40.8%,39.7%,15.4%,4.0%,"4,145",7.0%,12.1%,39.3%,23.6%,7.6%,6.5%,3.9%,80.9%,10.4%,483,93.4%,2.3%,808,95.3%,7.8%,"1,724",81.2%,15.8%,"1,130",64.9%,7.6%,15.9%,10.8%,12.8%,8.3%,"28,210","33,214","26,250","22,839","39,250","59,732",2729
Virginia,Danville,"4,269",20.3%,38.3%,34.8%,6.6%,"30,072",9.0%,15.1%,29.9%,21.1%,8.7%,10.0%,6.1%,75.8%,16.2%,"4,513",82.1%,14.4%,"4,963",86.2%,17.1%,"12,266",81.1%,20.2%,"8,330",58.5%,10.7%,30.7%,18.2%,14.1%,6.7%,"25,686","15,246","22,378","26,638","36,124","50,000",2732
Virginia,Emporia,457,31.9%,49.2%,16.6%,2.2%,"3,947",12.7%,15.7%,36.9%,15.8%,3.5%,7.5%,7.9%,71.6%,15.4%,799,86.7%,12.6%,662,79.5%,14.8%,"1,532",72.1%,18.5%,954,52.8%,13.3%,40.3%,16.2%,13.1%,5.7%,"26,580","15,152","23,563","30,469","49,129","50,625",2736
Virginia,Fairfax City,"2,169",10.9%,15.6%,53.1%,20.3%,"15,503",2.9%,4.0%,15.2%,18.6%,6.1%,29.4%,23.8%,93.1%,53.2%,"3,242",96.2%,51.9%,"3,136",93.5%,59.7%,"6,220",93.7%,53.6%,"2,905",88.0%,46.7%,9.3%,4.9%,5.5%,1.4%,"52,996","19,104","33,530","40,573","62,364","95,998",2737
Virginia,Falls Church,934,5.7%,27.9%,46.4%,20.0%,"7,737",2.9%,1.5%,11.3%,10.1%,3.3%,30.3%,40.6%,95.7%,71.0%,"1,321",96.5%,74.0%,"1,642",95.7%,78.3%,"3,491",98.3%,73.6%,"1,283",87.8%,51.1%,29.9%,3.8%,9.4%,1.0%,"69,076","32,368","32,802","47,443","74,583","88,654",2740
Virginia,Franklin City,854,34.2%,39.6%,24.6%,1.6%,"5,674",10.1%,13.8%,29.4%,22.4%,5.3%,11.9%,7.1%,76.1%,19.0%,873,89.3%,18.4%,"1,013",87.6%,17.9%,"2,326",73.1%,17.5%,"1,462",65.0%,22.6%,32.0%,23.8%,6.2%,3.2%,"24,921","15,932","21,615","25,748","35,481","56,563",2744
Virginia,Fredericksburg,"5,539",9.9%,22.1%,62.7%,5.3%,"13,277",4.2%,9.2%,30.2%,19.1%,5.3%,18.5%,13.4%,86.6%,31.9%,"3,331",86.1%,30.9%,"2,709",88.8%,37.5%,"4,731",91.4%,33.1%,"2,506",75.7%,24.9%,17.9%,8.2%,10.6%,4.5%,"33,103","18,409","26,002","35,042","51,641","62,406",2745
Virginia,Galax,443,9.0%,43.1%,43.1%,4.7%,"5,281",16.2%,10.3%,30.1%,23.2%,7.6%,8.6%,4.1%,73.5%,12.7%,"1,046",83.5%,9.1%,721,93.1%,16.1%,"1,809",72.1%,16.6%,"1,705",60.7%,9.2%,46.6%,34.0%,12.4%,9.9%,"25,393","9,472","28,197","27,412","31,894","51,823",2747
Virginia,Hampton,"17,652",10.7%,34.8%,47.8%,6.7%,"89,047",3.0%,8.3%,30.7%,27.4%,8.7%,13.6%,8.2%,88.6%,21.8%,"18,906",93.8%,20.5%,"18,077",91.0%,22.7%,"35,777",90.7%,23.6%,"16,287",75.4%,18.6%,21.9%,10.7%,7.5%,2.5%,"33,661","19,518","27,274","32,648","42,666","54,135",2751
Virginia,Harrisonburg,"19,870",3.7%,14.8%,73.4%,8.0%,"20,360",11.3%,11.3%,24.2%,15.3%,4.6%,19.3%,14.0%,77.5%,33.3%,"5,485",78.1%,37.5%,"3,882",75.2%,34.4%,"7,085",80.2%,35.3%,"3,908",73.9%,22.7%,28.0%,13.0%,16.4%,4.6%,"27,205","19,963","22,002","29,456","35,457","48,904",2755
Virginia,Hopewell,"2,040",28.3%,45.5%,26.2%,0.0%,"14,739",6.9%,17.0%,38.8%,21.6%,4.8%,7.2%,3.7%,76.1%,10.9%,"3,044",79.5%,12.1%,"3,150",78.0%,5.1%,"5,288",76.8%,13.7%,"3,257",70.0%,10.9%,33.8%,12.5%,11.4%,1.5%,"28,689","20,788","29,875","29,430","39,670","56,458",2756
Virginia,Lexington,"3,172",2.7%,27.0%,63.0%,7.3%,"2,987",9.4%,9.4%,20.9%,13.3%,2.7%,20.6%,23.7%,81.3%,44.4%,531,83.1%,57.4%,456,84.0%,55.0%,922,91.9%,46.7%,"1,078",70.1%,31.4%,42.2%,28.6%,8.4%,8.6%,"30,457","14,893","21,799","31,544","20,673","50,089",2760
Virginia,Lynchburg,"16,271",6.6%,21.6%,64.7%,7.1%,"42,759",6.3%,10.6%,28.7%,20.4%,5.7%,17.5%,10.8%,83.1%,28.3%,"8,665",89.3%,31.3%,"7,571",90.7%,30.3%,"16,172",83.4%,29.1%,"10,351",71.8%,23.0%,32.2%,18.6%,10.0%,5.9%,"29,473","14,593","22,733","27,885","41,109","54,224",2762
Virginia,Manassas,"3,492",22.9%,40.1%,31.1%,6.0%,"22,290",11.7%,7.7%,25.2%,21.3%,5.7%,18.6%,9.7%,80.6%,28.3%,"5,515",71.1%,18.1%,"5,595",74.2%,27.1%,"8,830",90.4%,34.7%,"2,350",81.2%,31.1%,26.3%,10.3%,6.7%,2.9%,"39,259","21,375","33,735","45,313","56,495","70,591",2765
Virginia,Manassas Park,"1,227",24.3%,42.5%,21.4%,11.8%,"8,090",11.2%,10.3%,31.0%,15.5%,10.0%,12.5%,9.5%,78.5%,21.9%,"2,322",76.9%,19.8%,"2,527",82.1%,28.3%,"2,528",79.9%,19.5%,713,65.6%,15.1%,10.2%,7.2%,1.4%,3.0%,"39,594","26,809","35,890","43,304","59,946","86,350",2768
Virginia,Martinsville,"1,112",10.3%,45.0%,42.2%,2.5%,"9,875",9.3%,12.4%,30.4%,20.1%,7.4%,13.6%,6.8%,78.3%,20.4%,"1,224",87.7%,16.2%,"1,987",90.7%,26.9%,"3,955",83.0%,22.0%,"2,709",58.0%,15.0%,31.8%,18.9%,17.1%,4.7%,"23,887","14,725","19,167","25,675","40,292","58,250",2771
Virginia,Newport News,"24,495",9.9%,36.7%,46.5%,6.9%,"112,043",3.2%,7.9%,29.3%,26.8%,9.4%,15.5%,8.0%,88.9%,23.5%,"27,291",93.9%,23.0%,"23,578",91.2%,24.1%,"42,497",89.8%,25.3%,"18,677",76.8%,19.1%,23.2%,13.0%,7.3%,3.0%,"32,300","20,021","26,847","32,277","40,907","60,108",2775
Virginia,Norfolk,"47,147",11.1%,41.4%,40.9%,6.6%,"142,294",4.0%,12.1%,29.8%,23.8%,6.7%,14.0%,9.7%,83.9%,23.7%,"39,979",88.4%,24.6%,"28,897",86.1%,23.8%,"50,555",84.9%,25.6%,"22,863",71.0%,17.8%,26.0%,13.6%,9.4%,4.0%,"31,150","18,537","25,590","31,282","41,483","54,485",2778
Virginia,Norton,472,0.6%,24.8%,65.3%,9.3%,"2,558",11.9%,10.5%,23.7%,23.9%,9.4%,13.0%,7.6%,77.6%,20.6%,419,97.1%,11.5%,475,79.2%,24.6%,"1,035",80.8%,27.1%,629,58.3%,12.9%,35.1%,19.4%,12.4%,10.4%,"27,917","23,625","24,375","29,396","26,563","46,611",2780
Virginia,Petersburg,"3,771",26.6%,37.1%,27.9%,8.4%,"21,562",9.4%,18.7%,33.5%,18.8%,4.4%,10.7%,4.5%,72.0%,15.2%,"3,901",65.5%,15.0%,"3,970",81.4%,12.5%,"8,876",76.8%,16.7%,"4,815",60.4%,14.8%,33.6%,10.9%,7.8%,5.1%,"26,904","18,519","23,876","29,326","42,577","55,245",2782
Virginia,Poquoson,848,13.7%,34.7%,44.5%,7.2%,"8,204",2.5%,3.6%,25.0%,23.5%,9.4%,21.1%,14.9%,93.9%,36.0%,938,100.0%,37.8%,"1,777",96.7%,47.8%,"3,747",94.8%,37.5%,"1,742",85.6%,20.0%,28.1%,4.2%,4.7%,0.6%,"46,755","38,500","31,450","40,213","59,797","77,266",2791
Virginia,Portsmouth,"10,728",18.5%,40.5%,34.8%,6.2%,"62,635",5.9%,12.4%,30.8%,24.9%,7.3%,12.2%,6.4%,81.7%,18.7%,"13,941",88.0%,22.0%,"11,884",88.8%,21.7%,"24,199",82.3%,19.7%,"12,611",66.9%,10.3%,22.5%,10.8%,8.2%,3.4%,"31,454","21,130","26,256","31,891","40,528","53,570",2795
