County,State,Households with one or more people under 18 years,Households with one or more people 60 years and over,1-unit structures,2-unit structures,Mobile homes and all other types of units,FID
Louisiana,Calcasieu,35.1%,32.3%,71.9%,11.2%,16.9%,1081
Louisiana,Caldwell,33.7%,36.5%,67.8%,5.5%,26.8%,1084
Louisiana,Cameron,39.4%,39.1%,63.1%,0.5%,36.5%,1089
Louisiana,Catahoula,36.5%,37.0%,74.0%,3.4%,22.6%,1093
Louisiana,Claiborne,37.7%,38.2%,73.0%,3.9%,23.1%,1095
Louisiana,Concordia,37.7%,39.7%,74.2%,5.6%,20.2%,1098
Louisiana,De Soto,32.0%,37.0%,61.3%,8.3%,30.4%,1103
Louisiana,East Baton Rouge,32.1%,28.5%,69.7%,27.3%,3.0%,1108
Louisiana,East Carroll,35.9%,36.0%,76.3%,10.3%,13.4%,1111
Louisiana,East Feliciana,33.9%,35.8%,67.8%,5.0%,27.2%,1115
Louisiana,Evangeline,34.6%,35.8%,78.5%,7.0%,14.4%,1118
Louisiana,Franklin,35.6%,38.0%,76.6%,4.6%,18.8%,1123
Louisiana,Grant,34.9%,33.7%,74.1%,2.8%,23.1%,1127
Louisiana,Iberia,39.5%,32.8%,71.1%,9.5%,19.4%,1133
Louisiana,Iberville,31.1%,34.6%,75.3%,5.1%,19.5%,1134
Louisiana,Jackson,32.2%,38.0%,72.6%,7.6%,19.8%,1138
Louisiana,Jefferson,31.9%,34.3%,72.4%,25.6%,2.0%,1147
Louisiana,Jefferson Davis,35.2%,36.1%,78.0%,5.5%,16.6%,1155
Louisiana,Lafayette,34.7%,25.3%,67.8%,20.9%,11.3%,1161
Louisiana,Lafourche,39.4%,30.9%,74.0%,8.8%,17.1%,1280
Louisiana,La Salle,33.7%,38.7%,75.5%,5.6%,18.9%,1289
Louisiana,Lincoln,31.1%,29.8%,63.4%,21.0%,15.6%,1291
Louisiana,Livingston,40.6%,28.6%,67.9%,4.4%,27.7%,1295
Louisiana,Madison,31.8%,35.4%,70.4%,15.8%,13.8%,1297
Louisiana,Morehouse,32.6%,37.6%,76.3%,7.2%,16.5%,1299
Louisiana,Natchitoches,33.2%,33.2%,63.5%,16.4%,20.0%,1301
Louisiana,Orleans,27.5%,29.8%,60.2%,37.1%,2.7%,1304
Louisiana,Ouachita,35.5%,31.3%,69.7%,16.8%,13.6%,1306
Louisiana,Plaquemines,40.1%,32.1%,63.5%,16.0%,20.5%,1427
Louisiana,Pointe Coupee,31.9%,39.1%,79.4%,3.7%,16.9%,1431
Louisiana,Rapides,36.4%,34.7%,73.9%,13.4%,12.7%,1434
Louisiana,Red River,39.1%,39.1%,75.3%,5.7%,19.0%,1436
Louisiana,Richland,39.0%,35.3%,73.8%,8.0%,18.2%,1439
Louisiana,Sabine,31.3%,40.0%,60.2%,7.1%,32.7%,1441
Louisiana,St. Bernard,35.1%,26.8%,69.1%,14.8%,16.1%,1463
Louisiana,St. Charles,45.0%,27.3%,81.0%,9.8%,9.3%,1466
Louisiana,St. Helena,35.9%,44.0%,63.7%,2.0%,34.3%,1467
Louisiana,St. James,41.5%,36.2%,77.0%,6.6%,16.4%,1468
Louisiana,St. John the Baptist,40.4%,28.8%,80.4%,8.8%,10.8%,1469
Louisiana,St. Landry,35.7%,35.6%,70.6%,9.6%,19.8%,1471
Louisiana,St. Martin,37.4%,31.4%,70.1%,5.1%,24.7%,1473
Louisiana,St. Mary,38.9%,32.6%,69.0%,10.5%,20.5%,1474
Louisiana,St. Tammany,36.8%,33.9%,81.6%,9.9%,8.5%,1475
Louisiana,Tangipahoa,35.3%,32.4%,67.1%,11.9%,21.0%,1476
Louisiana,Tensas,31.0%,43.8%,86.2%,5.2%,8.5%,1479
Louisiana,Terrebonne,41.0%,30.9%,72.3%,10.6%,17.1%,1501
Louisiana,Union,33.9%,39.6%,68.7%,6.2%,25.1%,1507
Louisiana,Vermilion,39.0%,32.3%,73.9%,4.8%,21.4%,1510
Louisiana,Vernon,42.6%,26.9%,56.9%,22.5%,20.6%,1513
Louisiana,Washington,34.1%,39.8%,72.5%,6.3%,21.3%,1516
Louisiana,Webster,34.6%,38.3%,69.3%,10.2%,20.5%,1518
Louisiana,West Baton Rouge,37.1%,30.5%,68.9%,8.3%,22.8%,1520
Louisiana,West Carroll,30.0%,40.3%,74.2%,3.2%,22.5%,1522
Louisiana,West Feliciana,36.2%,33.8%,68.2%,8.7%,23.1%,1524
Louisiana,Winn,32.3%,36.6%,68.6%,7.6%,23.8%,1529
Maine,Androscoggin,30.6%,31.5%,60.0%,29.7%,10.3%,1532
Maine,Aroostook,27.6%,39.7%,70.2%,19.3%,10.5%,1535
Maine,Cumberland,29.8%,32.4%,67.7%,28.2%,4.1%,1608
Maine,Franklin,28.0%,35.9%,70.6%,16.9%,12.5%,1619
Maine,Hancock,25.0%,38.5%,78.1%,9.4%,12.4%,1748
Maine,Kennebec,29.0%,35.0%,66.8%,23.1%,10.2%,1755
Maine,Knox,25.7%,42.4%,75.7%,15.5%,8.8%,1774
Maine,Lincoln,25.9%,44.8%,81.8%,7.0%,11.2%,1835
Maine,Oxford,27.8%,37.2%,73.8%,13.9%,12.3%,1842
Maine,Penobscot,28.6%,32.9%,64.5%,22.1%,13.4%,1846
Maine,Piscataquis,27.3%,44.7%,74.3%,13.6%,12.1%,1851
Maine,Sagadahoc,27.5%,35.4%,75.6%,14.5%,10.0%,1855
Maine,Somerset,30.4%,36.5%,70.1%,13.3%,16.6%,1860
Maine,Waldo,28.6%,38.3%,71.9%,10.1%,18.0%,1865
Maine,Washington,27.2%,42.8%,74.4%,11.1%,14.5%,1884
Maine,York,31.5%,35.1%,71.4%,21.3%,7.3%,1901
Maryland,Allegany,26.2%,42.1%,78.5%,18.2%,3.3%,1905
Maryland,Anne Arundel,34.8%,31.3%,81.7%,16.4%,2.0%,1925
Maryland,Baltimore County,32.1%,34.8%,71.7%,27.4%,0.9%,1939
Maryland,Calvert,41.8%,30.9%,92.6%,5.8%,1.5%,1946
Maryland,Caroline,36.3%,34.6%,81.5%,8.1%,10.4%,1949
Maryland,Carroll,38.5%,33.2%,87.3%,11.3%,1.4%,1955
Maryland,Cecil,37.1%,31.7%,80.8%,12.0%,7.3%,1963
Maryland,Charles,42.0%,27.0%,89.0%,9.1%,1.9%,1294
Maryland,Dorchester,31.5%,39.9%,78.4%,13.1%,8.5%,1346
Maryland,Frederick,38.6%,29.3%,83.0%,16.1%,1.0%,1357
Maryland,Garrett,31.4%,38.1%,81.9%,9.5%,8.6%,1361
Maryland,Harford,37.0%,31.5%,81.8%,14.8%,3.4%,1372
Maryland,Howard,40.9%,27.2%,75.6%,23.3%,1.1%,1379
Maryland,Kent,23.3%,46.8%,85.8%,12.1%,2.1%,1394
Maryland,Montgomery,35.9%,31.7%,68.5%,31.4%,0.1%,1398
Maryland,Prince George's,36.9%,27.2%,67.9%,31.6%,0.5%,1403
Maryland,Queen Anne's,34.6%,36.0%,91.5%,5.7%,2.8%,1413
Maryland,St. Mary's,41.3%,26.6%,82.9%,12.2%,5.0%,1421
Maryland,Somerset,27.5%,40.5%,75.1%,13.3%,11.6%,1430
Maryland,Talbot,26.1%,48.2%,85.7%,12.0%,2.4%,1438
Maryland,Washington,33.9%,33.1%,76.1%,19.8%,4.1%,1445
Maryland,Wicomico,33.6%,33.3%,74.7%,19.3%,6.0%,1446
Maryland,Worcester,25.6%,47.3%,78.9%,15.2%,5.9%,1456
Maryland,Baltimore city,29.2%,31.6%,66.8%,33.0%,0.2%,
Massachusetts,Barnstable,22.9%,48.1%,85.9%,13.7%,0.4%,1478
Massachusetts,Berkshire,26.7%,41.0%,65.9%,31.3%,2.7%,1480
Massachusetts,Bristol,33.9%,34.2%,59.0%,39.7%,1.4%,1486
Massachusetts,Dukes,26.2%,43.5%,90.8%,8.6%,0.6%,1491
Massachusetts,Essex,34.0%,34.9%,58.1%,41.3%,0.6%,1519
Massachusetts,Franklin,29.3%,35.1%,69.7%,27.8%,2.5%,1523
Massachusetts,Hampden,33.6%,34.6%,61.7%,37.0%,1.4%,1526
Massachusetts,Hampshire,27.9%,33.9%,65.7%,32.7%,1.6%,1527
Massachusetts,Middlesex,31.8%,32.0%,56.3%,43.4%,0.3%,1533
Massachusetts,Nantucket,35.7%,28.8%,88.0%,11.5%,0.4%,1537
Massachusetts,Norfolk,33.1%,35.0%,63.9%,35.7%,0.4%,1543
Massachusetts,Plymouth,36.7%,36.1%,75.3%,22.3%,2.4%,1569
Massachusetts,Suffolk,25.4%,26.3%,20.2%,79.7%,0.1%,1585
Massachusetts,Worcester,35.0%,31.5%,64.7%,34.6%,0.7%,1599
Michigan,Alcona,16.0%,59.5%,90.4%,1.6%,8.0%,1603
Michigan,Alger,22.6%,48.3%,81.6%,10.8%,7.6%,1609
Michigan,Allegan,36.6%,30.5%,78.5%,8.2%,13.3%,1611
Michigan,Alpena,28.4%,39.0%,83.0%,11.3%,5.6%,1614
Michigan,Antrim,27.8%,43.0%,85.5%,4.6%,9.9%,1617
Michigan,Arenac,26.1%,42.7%,78.8%,6.5%,14.7%,1621
Michigan,Baraga,26.2%,44.2%,79.6%,12.6%,7.7%,1624
Michigan,Barry,33.8%,33.8%,86.6%,6.9%,6.5%,1627
Michigan,Bay,30.2%,35.7%,81.1%,13.3%,5.6%,1631
Michigan,Benzie,26.4%,43.1%,86.5%,4.9%,8.7%,1634
Michigan,Berrien,30.5%,36.7%,78.3%,16.7%,5.1%,1635
Michigan,Branch,32.2%,36.2%,79.7%,8.4%,11.9%,1640
Michigan,Calhoun,32.6%,34.2%,77.6%,17.2%,5.2%,1641
Michigan,Cass,32.2%,37.4%,85.3%,5.9%,8.9%,1644
Michigan,Charlevoix,30.1%,37.8%,80.8%,9.2%,10.0%,1648
Michigan,Cheboygan,26.2%,42.6%,81.8%,7.4%,10.7%,1649
Michigan,Chippewa,29.8%,34.0%,75.8%,14.8%,9.4%,1660
Michigan,Clare,25.8%,43.8%,75.7%,7.8%,16.5%,1665
Michigan,Clinton,34.9%,30.4%,82.4%,10.6%,7.0%,1669
Michigan,Crawford,25.4%,43.5%,83.5%,5.7%,10.8%,1672
Michigan,Delta,28.9%,37.6%,80.1%,12.8%,7.1%,1675
Michigan,Dickinson,29.0%,40.3%,83.9%,11.7%,4.4%,1677
Michigan,Eaton,31.4%,32.2%,75.6%,18.7%,5.7%,1678
Michigan,Emmet,29.4%,36.0%,76.2%,17.5%,6.3%,1686
Michigan,Genesee,33.3%,32.3%,79.0%,15.2%,5.8%,1688
Michigan,Gladwin,26.5%,44.5%,79.5%,5.1%,15.5%,1691
Michigan,Gogebic,24.8%,42.7%,83.9%,12.6%,3.5%,1693
Michigan,Grand Traverse,29.3%,32.4%,77.7%,13.1%,9.2%,1697
Michigan,Gratiot,34.9%,34.6%,77.6%,10.9%,11.5%,1700
Michigan,Hillsdale,30.0%,37.7%,79.9%,9.4%,10.8%,1701
Michigan,Houghton,25.0%,35.1%,75.8%,18.8%,5.3%,1705
Michigan,Huron,24.9%,43.3%,85.1%,7.5%,7.4%,1708
Michigan,Ingham,29.5%,26.6%,70.5%,27.0%,2.5%,1710
Michigan,Ionia,36.7%,30.8%,75.2%,12.3%,12.6%,1713
Michigan,Iosco,23.7%,51.5%,85.3%,7.5%,7.2%,1715
Michigan,Iron,19.9%,48.8%,86.8%,9.4%,3.8%,1716
Michigan,Isabella,26.8%,24.3%,60.6%,29.7%,9.7%,1717
Michigan,Jackson,33.9%,34.0%,78.5%,15.0%,6.5%,1719
Michigan,Kalamazoo,31.1%,28.6%,69.7%,26.4%,4.0%,1720
Michigan,Kalkaska,29.6%,37.6%,79.6%,3.7%,16.7%,1722
Michigan,Kent,35.8%,27.3%,73.6%,22.5%,3.9%,1726
Michigan,Keweenaw,17.3%,52.9%,92.5%,6.0%,1.6%,1743
Michigan,Lake,18.8%,53.3%,72.4%,5.0%,22.6%,1749
Michigan,Lapeer,35.4%,31.7%,84.3%,7.8%,7.9%,1752
Michigan,Leelanau,24.4%,45.7%,90.7%,5.6%,3.7%,1765
Michigan,Lenawee,33.0%,34.1%,81.4%,11.6%,7.0%,1768
Michigan,Livingston,38.2%,28.8%,86.7%,7.6%,5.7%,1770
Michigan,Luce,29.3%,43.7%,85.0%,7.6%,7.4%,1773
Michigan,Mackinac,24.1%,46.2%,81.6%,10.1%,8.3%,1779
Michigan,Macomb,32.3%,33.7%,80.0%,16.5%,3.6%,1785
Michigan,Manistee,26.3%,44.1%,84.2%,8.7%,7.1%,1787
Michigan,Marquette,26.3%,34.2%,74.6%,20.7%,4.7%,1793
Michigan,Mason,29.9%,40.9%,78.4%,11.4%,10.2%,1797
Michigan,Mecosta,26.3%,35.4%,71.6%,13.1%,15.2%,1800
Michigan,Menominee,27.5%,37.8%,82.2%,9.9%,8.0%,1802
Michigan,Midland,32.7%,32.7%,77.0%,14.4%,8.6%,1806
Michigan,Missaukee,30.2%,38.3%,82.0%,3.8%,14.2%,1810
Michigan,Monroe,34.7%,32.3%,78.7%,12.3%,9.0%,1812
Michigan,Montcalm,34.3%,34.4%,77.1%,8.3%,14.6%,1815
Michigan,Montmorency,19.5%,54.3%,86.3%,3.3%,10.4%,1816
Michigan,Muskegon,34.0%,33.2%,80.0%,13.3%,6.6%,1818
Michigan,Newaygo,32.6%,36.0%,73.5%,5.9%,20.6%,1820
Michigan,Oakland,32.7%,31.4%,76.7%,20.4%,2.8%,1824
Michigan,Oceana,31.4%,39.9%,77.3%,5.0%,17.7%,1825
Michigan,Ogemaw,23.0%,47.2%,85.9%,4.8%,9.2%,1827
Michigan,Ontonagon,19.6%,48.9%,85.0%,7.2%,7.9%,1829
Michigan,Osceola,31.0%,40.3%,77.2%,6.7%,16.1%,1830
Michigan,Oscoda,23.8%,45.3%,82.1%,4.2%,13.7%,1832
Michigan,Otsego,30.4%,37.9%,80.8%,7.5%,11.7%,1834
Michigan,Ottawa,37.5%,29.1%,78.4%,15.4%,6.2%,1837
Michigan,Presque Isle,22.5%,47.9%,89.1%,5.4%,5.5%,1840
Michigan,Roscommon,20.0%,53.2%,86.0%,4.3%,9.7%,1843
Michigan,Saginaw,31.8%,35.5%,81.0%,15.1%,4.0%,1845
Michigan,St. Clair,32.5%,34.1%,80.9%,12.2%,6.9%,1854
Michigan,St. Joseph,32.9%,35.4%,82.0%,10.9%,7.1%,1857
Michigan,Sanilac,30.5%,38.3%,82.5%,6.7%,10.8%,1858
Michigan,Schoolcraft,27.7%,43.8%,85.9%,6.3%,7.7%,1861
Michigan,Shiawassee,34.3%,33.4%,81.0%,11.4%,7.6%,1863
Michigan,Tuscola,32.8%,36.3%,81.9%,7.1%,11.0%,1866
Michigan,Van Buren,34.2%,33.2%,77.0%,10.3%,12.6%,1867
Michigan,Washtenaw,29.5%,25.3%,64.5%,31.4%,4.2%,1869
Michigan,Wayne,34.4%,33.0%,77.6%,20.6%,1.8%,1871
Michigan,Wexford,32.4%,34.8%,76.5%,10.3%,13.3%,1873
Minnesota,Aitkin,24.1%,48.1%,80.2%,8.1%,11.7%,1875
Minnesota,Anoka,38.0%,25.6%,83.8%,13.0%,3.2%,1877
Minnesota,Becker,31.1%,38.5%,77.2%,12.3%,10.4%,1878
Minnesota,Beltrami,33.1%,31.5%,73.0%,14.6%,12.4%,1880
Minnesota,Benton,34.3%,24.8%,69.8%,24.6%,5.7%,1881
Minnesota,Big Stone,24.7%,48.9%,83.7%,12.4%,3.8%,1882
Minnesota,Blue Earth,27.9%,27.3%,67.6%,27.2%,5.1%,1886
Minnesota,Brown,29.2%,38.6%,81.6%,14.1%,4.3%,1892
Minnesota,Carlton,32.4%,35.4%,82.5%,11.2%,6.3%,1893
Minnesota,Carver,44.2%,22.7%,84.6%,12.3%,3.1%,1894
Minnesota,Cass,28.8%,40.8%,83.7%,5.5%,10.8%,1895
Minnesota,Chippewa,27.6%,39.2%,82.1%,15.2%,2.7%,1896
Minnesota,Chisago,37.5%,28.4%,87.7%,7.1%,5.1%,1897
Minnesota,Clay,33.7%,27.9%,74.4%,22.2%,3.4%,1898
Minnesota,Clearwater,31.9%,37.9%,76.7%,9.3%,14.0%,1899
Minnesota,Cook,17.3%,36.3%,81.1%,12.4%,6.5%,1900
Minnesota,Cottonwood,27.3%,43.3%,86.3%,11.5%,2.2%,1902
Minnesota,Crow Wing,29.9%,36.8%,81.4%,13.5%,5.1%,1903
Minnesota,Dakota,37.2%,24.6%,78.1%,19.6%,2.3%,1904
Minnesota,Dodge,40.6%,29.6%,85.9%,7.5%,6.6%,1906
Minnesota,Douglas,26.6%,36.5%,78.4%,16.6%,4.9%,1907
Minnesota,Faribault,25.5%,42.9%,88.7%,10.3%,1.0%,1908
Minnesota,Fillmore,30.8%,38.5%,87.5%,10.0%,2.5%,1909
Minnesota,Freeborn,28.4%,40.6%,85.1%,12.3%,2.6%,1910
Minnesota,Goodhue,32.2%,35.6%,77.9%,16.5%,5.6%,1911
Minnesota,Grant,27.6%,39.7%,83.6%,12.4%,4.0%,1912
Minnesota,Hennepin,29.8%,26.4%,64.8%,34.8%,0.3%,1913
Minnesota,Houston,31.3%,37.3%,83.2%,10.9%,5.8%,1914
Minnesota,Hubbard,27.4%,43.7%,81.3%,7.8%,10.8%,1915
Minnesota,Isanti,38.3%,28.1%,85.0%,11.8%,3.2%,1916
Minnesota,Itasca,28.9%,39.0%,82.1%,9.7%,8.2%,1917
Minnesota,Jackson,27.8%,40.1%,88.5%,9.9%,1.6%,1918
Minnesota,Kanabec,29.5%,38.0%,74.2%,9.6%,16.2%,1919
Minnesota,Kandiyohi,32.1%,32.8%,78.8%,17.5%,3.6%,1920
Minnesota,Kittson,23.4%,44.2%,87.5%,7.7%,4.8%,1921
Minnesota,Koochiching,26.8%,39.0%,77.6%,12.1%,10.3%,1922
Minnesota,Lac qui Parle,27.9%,41.3%,91.5%,6.9%,1.7%,1923
Minnesota,Lake,26.4%,41.8%,85.5%,9.9%,4.7%,1926
Minnesota,Lake of the Woods,22.9%,36.3%,81.2%,4.8%,14.1%,1927
Minnesota,Le Sueur,35.4%,33.3%,86.8%,10.7%,2.5%,1929
Minnesota,Lincoln,24.5%,47.2%,90.8%,7.4%,1.7%,1931
Minnesota,Lyon,30.6%,30.6%,73.6%,24.0%,2.3%,1932
Minnesota,McLeod,33.3%,32.0%,82.3%,13.6%,4.1%,1934
Minnesota,Mahnomen,34.6%,40.4%,81.2%,11.2%,7.6%,1936
Minnesota,Marshall,28.3%,38.5%,81.3%,9.7%,9.0%,1937
Minnesota,Martin,27.3%,39.7%,82.2%,15.9%,2.0%,1940
Minnesota,Meeker,32.9%,32.7%,83.7%,10.0%,6.3%,1941
Minnesota,Mille Lacs,31.2%,33.6%,78.2%,13.7%,8.0%,1943
Minnesota,Morrison,33.4%,32.9%,82.4%,9.5%,8.2%,1944
Minnesota,Mower,30.6%,37.9%,81.5%,16.2%,2.3%,1945
Minnesota,Murray,25.5%,40.4%,90.6%,7.1%,2.3%,1947
Minnesota,Nicollet,31.7%,29.7%,75.0%,18.5%,6.5%,1948
Minnesota,Nobles,33.0%,35.0%,79.3%,16.5%,4.2%,1950
Minnesota,Norman,28.0%,42.7%,85.7%,9.2%,5.1%,1951
Minnesota,Olmsted,34.9%,27.1%,76.4%,20.2%,3.4%,1953
Minnesota,Otter Tail,28.3%,40.9%,78.9%,13.6%,7.5%,1954
Minnesota,Pennington,28.7%,35.6%,68.0%,17.3%,14.7%,1956
Minnesota,Pine,30.0%,36.8%,78.5%,8.5%,13.0%,1957
Minnesota,Pipestone,28.8%,42.4%,86.8%,11.6%,1.6%,1958
Minnesota,Polk,30.4%,36.2%,75.6%,18.9%,5.5%,1959
Minnesota,Pope,26.6%,39.7%,83.8%,12.9%,3.3%,1961
Minnesota,Ramsey,29.1%,28.6%,62.3%,36.1%,1.6%,1964
Minnesota,Red Lake,31.2%,32.8%,81.4%,9.4%,9.2%,1966
Minnesota,Redwood,30.1%,39.2%,87.3%,10.7%,2.0%,1969
Minnesota,Renville,29.1%,38.4%,87.3%,9.9%,2.8%,1971
Minnesota,Rice,34.8%,30.8%,78.2%,17.0%,4.8%,1973
Minnesota,Rock,30.2%,40.0%,84.5%,13.8%,1.7%,1974
Minnesota,Roseau,36.7%,29.7%,67.9%,10.2%,22.0%,1976
Minnesota,St. Louis,26.3%,34.2%,75.6%,20.4%,4.0%,1978
Minnesota,Scott,46.0%,20.6%,89.5%,9.3%,1.3%,1979
Minnesota,Sherburne,43.5%,22.1%,88.4%,9.7%,1.9%,1980
Minnesota,Sibley,31.4%,35.5%,87.1%,9.5%,3.4%,1982
Minnesota,Stearns,31.7%,28.0%,75.1%,22.1%,2.8%,1984
Minnesota,Steele,34.3%,32.3%,81.1%,15.3%,3.5%,1985
Minnesota,Stevens,26.0%,32.4%,79.0%,19.0%,2.1%,1987
Minnesota,Swift,24.3%,45.9%,82.1%,15.2%,2.6%,1988
Minnesota,Todd,32.9%,36.7%,84.4%,7.1%,8.5%,1989
Minnesota,Traverse,25.6%,43.2%,89.6%,8.7%,1.7%,1990
Minnesota,Wabasha,30.6%,37.7%,82.5%,10.3%,7.2%,1991
Minnesota,Wadena,30.4%,41.5%,77.3%,12.2%,10.5%,1992
Minnesota,Waseca,30.6%,34.7%,85.2%,12.7%,2.1%,1993
Minnesota,Washington,38.5%,27.2%,86.2%,12.2%,1.6%,1994
Minnesota,Watonwan,28.8%,42.4%,82.8%,12.5%,4.8%,1996
Minnesota,Wilkin,34.2%,28.9%,82.5%,11.3%,6.2%,1997
Minnesota,Winona,26.2%,31.9%,73.6%,22.0%,4.4%,1998
Minnesota,Wright,41.7%,23.5%,86.8%,8.4%,4.8%,1999
Minnesota,Yellow Medicine,31.2%,39.0%,90.1%,8.2%,1.7%,1531
Mississippi,Adams,28.4%,38.5%,73.0%,14.0%,13.0%,1534
Mississippi,Alcorn,31.4%,38.8%,76.8%,10.1%,13.1%,1538
Mississippi,Amite,27.4%,46.3%,75.3%,1.6%,23.1%,1539
Mississippi,Attala,35.4%,41.0%,76.1%,5.5%,18.4%,1541
Mississippi,Benton,33.8%,42.9%,80.2%,1.9%,17.9%,1544
Mississippi,Bolivar,36.7%,35.3%,68.0%,22.2%,9.8%,1547
Mississippi,Calhoun,36.9%,37.7%,80.7%,4.9%,14.4%,1548
Mississippi,Carroll,29.4%,42.9%,70.5%,3.7%,25.9%,1549
Mississippi,Chickasaw,37.3%,34.9%,67.4%,8.4%,24.2%,1550
Mississippi,Choctaw,28.8%,42.2%,77.9%,6.8%,15.3%,1552
Mississippi,Claiborne,30.0%,38.6%,70.0%,3.8%,26.1%,1555
Mississippi,Clarke,37.9%,38.0%,71.3%,2.9%,25.8%,1557
Mississippi,Clay,36.7%,35.0%,73.7%,9.3%,17.0%,1559
Mississippi,Coahoma,39.3%,33.8%,71.9%,20.0%,8.1%,1562
Mississippi,Copiah,32.1%,36.0%,71.2%,5.2%,23.7%,1564
Mississippi,Covington,37.6%,38.5%,75.8%,4.5%,19.7%,1567
Mississippi,DeSoto,42.6%,27.4%,84.5%,11.0%,4.6%,1571
Mississippi,Forrest,33.0%,28.4%,64.5%,25.3%,10.2%,1572
Mississippi,Franklin,30.1%,41.7%,75.4%,2.7%,21.9%,1575
Mississippi,George,39.8%,33.4%,71.7%,2.0%,26.2%,1577
Mississippi,Greene,42.5%,33.2%,73.2%,3.2%,23.6%,1579
Mississippi,Grenada,38.8%,34.0%,71.2%,12.3%,16.5%,1581
Mississippi,Hancock,34.6%,38.1%,67.4%,6.8%,25.8%,1583
Mississippi,Harrison,34.7%,31.0%,70.9%,16.9%,12.2%,1587
Mississippi,Hinds,37.1%,29.5%,74.5%,21.1%,4.4%,1591
Mississippi,Holmes,34.3%,35.7%,64.8%,8.9%,26.4%,1593
Mississippi,Humphreys,43.2%,34.7%,74.1%,12.6%,13.3%,1596
Mississippi,Issaquena,35.3%,31.3%,53.8%,17.4%,28.8%,1598
Mississippi,Itawamba,35.5%,36.7%,79.4%,3.3%,17.3%,1601
Mississippi,Jackson,37.5%,33.0%,77.3%,10.3%,12.4%,1605
Mississippi,Jasper,32.3%,37.9%,76.2%,2.5%,21.3%,1607
Mississippi,Jefferson,30.7%,41.8%,67.4%,8.6%,24.1%,1610
Mississippi,Jefferson Davis,38.5%,34.9%,71.6%,6.7%,21.7%,1612
Mississippi,Jones,37.4%,36.3%,70.4%,9.2%,20.4%,1615
Mississippi,Kemper,34.0%,44.3%,68.7%,9.1%,22.2%,1616
Mississippi,Lafayette,26.3%,26.3%,69.3%,20.6%,10.2%,1620
Mississippi,Lamar,35.3%,26.4%,69.0%,19.4%,11.6%,1623
Mississippi,Lauderdale,36.9%,32.9%,67.0%,18.6%,14.5%,1628
Mississippi,Lawrence,35.1%,38.2%,74.4%,2.9%,22.7%,1632
Mississippi,Leake,38.2%,37.7%,75.9%,3.9%,20.2%,1636
Mississippi,Lee,39.5%,31.2%,74.6%,13.9%,11.5%,1638
Mississippi,Leflore,35.7%,31.8%,72.2%,19.6%,8.1%,1643
Mississippi,Lincoln,37.2%,34.9%,66.9%,7.3%,25.8%,1645
Mississippi,Lowndes,35.6%,31.9%,73.2%,15.0%,11.8%,1647
Mississippi,Madison,37.2%,27.8%,74.9%,19.0%,6.1%,1651
Mississippi,Marion,36.2%,38.6%,72.9%,3.7%,23.4%,1653
Mississippi,Marshall,35.2%,36.0%,67.0%,5.9%,27.2%,1655
Mississippi,Monroe,37.2%,36.6%,76.1%,6.7%,17.2%,1656
Mississippi,Montgomery,35.5%,39.7%,81.5%,5.8%,12.7%,1658
Mississippi,Neshoba,37.6%,33.3%,71.8%,6.4%,21.8%,1661
Mississippi,Newton,38.2%,39.2%,70.6%,4.1%,25.3%,1663
Mississippi,Noxubee,30.4%,38.6%,59.9%,4.4%,35.7%,1666
Mississippi,Oktibbeha,27.1%,23.5%,54.0%,31.5%,14.5%,1668
Mississippi,Panola,35.6%,37.1%,64.6%,5.8%,29.7%,1671
Mississippi,Pearl River,37.9%,37.0%,71.6%,6.9%,21.5%,1676
Mississippi,Perry,38.6%,36.1%,65.2%,4.7%,30.0%,1679
Mississippi,Pike,35.8%,36.5%,67.9%,11.8%,20.3%,1680
Mississippi,Pontotoc,36.9%,35.7%,71.9%,2.8%,25.3%,1682
Mississippi,Prentiss,31.8%,39.2%,78.2%,10.2%,11.6%,1684
Mississippi,Quitman,37.6%,38.6%,75.4%,10.5%,14.1%,1685
Mississippi,Rankin,37.2%,29.6%,74.1%,12.3%,13.6%,1690
Mississippi,Scott,40.4%,33.8%,69.7%,4.2%,26.1%,1692
Mississippi,Sharkey,29.2%,42.3%,71.7%,7.2%,21.1%,1695
Mississippi,Simpson,37.3%,36.3%,70.0%,7.2%,22.8%,1698
Mississippi,Smith,35.2%,40.8%,73.0%,1.5%,25.5%,1709
Mississippi,Stone,46.6%,31.6%,68.1%,3.0%,28.9%,1712
Mississippi,Sunflower,40.9%,34.6%,79.6%,16.0%,4.4%,1721
Mississippi,Tallahatchie,35.4%,33.7%,72.7%,4.2%,23.1%,1725
Mississippi,Tate,37.1%,34.7%,70.1%,6.4%,23.5%,1727
Mississippi,Tippah,37.5%,35.8%,75.9%,4.0%,20.1%,1730
Mississippi,Tishomingo,33.6%,41.0%,76.5%,6.7%,16.8%,1732
Mississippi,Tunica,32.8%,23.5%,50.1%,30.5%,19.4%,1735
Mississippi,Union,37.7%,36.8%,78.2%,5.1%,16.7%,1737
Mississippi,Walthall,32.8%,41.2%,75.2%,2.5%,22.3%,1740
Mississippi,Warren,35.3%,32.1%,67.1%,16.8%,16.0%,1746
Mississippi,Washington,38.3%,34.9%,74.4%,18.2%,7.4%,1750
Mississippi,Wayne,35.6%,34.7%,59.2%,3.7%,37.0%,1753
