County,State,Year Structure Built: 2000+,Year Structure Built: 1990 to 1999,Year Structure Built: 1980 to 1989,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available,FID
Texas,King,8.4%,0.0%,30.5%,28.4%,30.5%,2.1%,0.0%,25.3%,40.0%,34.7%,2342
Texas,Kinney,8.3%,15.7%,25.6%,26.0%,9.3%,15.1%,8.3%,41.5%,42.8%,7.4%,2347
Texas,Kleberg,11.9%,11.5%,8.6%,31.8%,29.6%,6.6%,8.0%,37.8%,38.2%,16.0%,2358
Texas,Knox,3.6%,3.1%,10.3%,31.1%,37.4%,14.5%,8.0%,39.6%,36.6%,15.8%,2364
Texas,Lamar,13.4%,16.0%,21.0%,30.7%,12.4%,6.5%,9.0%,30.0%,40.3%,20.7%,2371
Texas,Lamb,4.5%,5.1%,9.1%,33.6%,38.6%,9.0%,5.0%,34.0%,36.3%,24.7%,2376
Texas,Lampasas,15.2%,27.1%,16.3%,20.5%,12.5%,8.4%,5.4%,27.4%,43.5%,23.6%,2381
Texas,La Salle,7.2%,12.8%,19.2%,27.1%,18.7%,15.1%,17.1%,37.7%,34.3%,10.9%,2388
Texas,Lavaca,7.6%,12.3%,16.9%,26.4%,19.7%,17.1%,5.4%,31.1%,40.5%,22.9%,2392
Texas,Lee,13.8%,21.4%,15.0%,30.5%,11.6%,7.7%,4.2%,33.7%,39.0%,23.1%,2398
Texas,Leon,8.1%,20.1%,28.8%,25.3%,10.7%,6.9%,4.3%,30.5%,41.3%,23.9%,2402
Texas,Liberty,15.7%,23.6%,18.5%,27.9%,9.9%,4.5%,5.0%,30.8%,40.4%,23.8%,2404
Texas,Limestone,10.5%,14.0%,18.6%,31.7%,16.0%,9.1%,3.3%,34.5%,43.7%,18.5%,2408
Texas,Lipscomb,1.8%,3.1%,15.0%,38.2%,21.1%,20.9%,1.5%,27.8%,49.9%,20.9%,2412
Texas,Live Oak,5.1%,17.0%,22.0%,33.3%,13.7%,8.9%,6.2%,32.2%,38.8%,22.8%,2416
Texas,Llano,16.3%,20.2%,18.4%,29.7%,9.6%,5.9%,4.0%,37.4%,43.8%,14.8%,2421
Texas,Loving,0.0%,45.5%,13.6%,0.0%,40.9%,0.0%,0.0%,13.6%,72.7%,13.6%,2424
Texas,Lubbock,15.8%,13.1%,15.7%,33.3%,19.2%,2.9%,5.7%,35.3%,40.8%,18.1%,2428
Texas,Lynn,4.1%,5.6%,6.4%,43.4%,24.3%,16.3%,3.4%,29.3%,46.9%,20.4%,2438
Texas,McCulloch,5.3%,9.5%,10.5%,37.1%,28.5%,9.1%,6.7%,31.1%,43.8%,18.3%,2452
Texas,McLennan,13.3%,11.9%,17.1%,30.3%,21.4%,5.9%,6.6%,35.4%,40.8%,17.3%,2477
Texas,McMullen,9.8%,14.0%,18.9%,21.8%,19.2%,16.3%,1.6%,25.1%,45.3%,28.0%,2494
Texas,Madison,9.1%,20.2%,19.8%,36.4%,9.9%,4.6%,5.8%,34.2%,40.9%,19.2%,2526
Texas,Marion,8.7%,15.7%,23.9%,31.2%,13.3%,7.3%,10.4%,32.9%,39.3%,17.4%,2547
Texas,Martin,0.6%,11.9%,10.5%,36.8%,34.5%,5.8%,4.5%,22.4%,42.5%,30.6%,2564
Texas,Mason,3.7%,9.7%,8.8%,21.2%,28.7%,27.8%,4.8%,28.7%,39.8%,26.8%,2570
Texas,Matagorda,7.5%,8.1%,21.8%,35.5%,18.4%,8.7%,7.6%,34.8%,37.1%,20.5%,2637
Texas,Maverick,19.7%,21.0%,20.7%,28.3%,8.4%,1.9%,8.5%,35.8%,37.1%,18.7%,2649
Texas,Medina,18.1%,23.5%,14.8%,19.4%,15.7%,8.5%,3.5%,27.3%,40.6%,28.7%,2652
Texas,Menard,0.5%,7.3%,13.7%,23.2%,27.2%,28.0%,3.5%,25.6%,47.2%,23.7%,2655
Texas,Midland,9.9%,12.7%,24.4%,27.9%,23.2%,1.9%,4.3%,32.5%,40.6%,22.6%,2657
Texas,Milam,11.4%,11.9%,13.9%,30.1%,21.5%,11.2%,6.7%,30.1%,41.8%,21.5%,2659
Texas,Mills,6.1%,11.9%,13.1%,28.2%,21.6%,19.1%,4.6%,28.4%,38.2%,28.8%,2663
Texas,Mitchell,0.8%,7.7%,11.1%,23.8%,38.8%,17.7%,5.6%,30.2%,47.5%,16.7%,2666
Texas,Montague,10.1%,11.7%,14.4%,33.5%,17.7%,12.6%,4.2%,27.8%,44.7%,23.3%,2669
Texas,Montgomery,34.8%,25.1%,16.8%,20.4%,2.2%,0.7%,3.4%,28.7%,46.5%,21.5%,2682
Texas,Moore,5.2%,8.7%,12.4%,42.7%,24.8%,6.2%,4.3%,32.2%,41.1%,22.3%,2683
Texas,Morris,8.0%,8.4%,15.0%,34.3%,26.6%,7.7%,7.4%,34.5%,38.1%,19.9%,2688
Texas,Motley,4.6%,4.1%,3.9%,18.2%,36.1%,33.1%,4.6%,36.1%,27.1%,32.2%,2692
Texas,Nacogdoches,11.6%,18.7%,21.0%,31.9%,10.3%,6.4%,6.1%,39.2%,37.6%,17.0%,2701
Texas,Navarro,13.5%,14.0%,16.2%,30.9%,15.5%,10.0%,8.0%,31.5%,37.8%,22.7%,2706
Texas,Newton,9.9%,15.5%,16.1%,35.3%,17.0%,6.3%,4.5%,30.6%,39.4%,25.5%,2711
Texas,Nolan,2.2%,5.1%,10.8%,33.8%,33.9%,14.2%,6.3%,36.0%,36.1%,21.5%,2714
Texas,Nueces,10.9%,10.7%,18.1%,31.1%,25.1%,4.0%,8.4%,37.9%,37.3%,16.4%,2194
Texas,Ochiltree,1.9%,9.4%,23.3%,32.7%,23.7%,9.1%,2.7%,33.2%,44.0%,20.2%,2204
Texas,Oldham,2.4%,8.6%,11.8%,41.7%,21.1%,14.4%,2.8%,21.8%,49.2%,26.2%,2210
Texas,Orange,10.7%,15.0%,13.4%,37.5%,20.0%,3.3%,5.9%,30.8%,43.3%,19.9%,2214
Texas,Palo Pinto,9.6%,10.4%,15.3%,33.3%,20.0%,11.5%,5.1%,34.9%,41.0%,19.0%,2220
Texas,Panola,7.2%,16.0%,14.3%,35.8%,19.4%,7.4%,7.1%,30.4%,41.5%,20.9%,2227
Texas,Parker,29.3%,20.4%,20.1%,18.8%,7.4%,4.0%,4.3%,24.8%,44.3%,26.6%,2229
Texas,Parmer,4.5%,5.4%,7.1%,44.6%,28.9%,9.6%,4.8%,26.7%,37.0%,31.4%,2235
Texas,Pecos,3.0%,8.7%,16.0%,41.0%,25.6%,5.7%,4.5%,39.1%,38.2%,18.1%,2239
Texas,Polk,9.8%,19.7%,22.8%,35.4%,7.2%,5.0%,6.1%,40.5%,38.8%,14.6%,2243
Texas,Potter,9.8%,8.7%,10.9%,27.1%,32.2%,11.3%,7.6%,37.3%,37.1%,17.9%,2247
Texas,Presidio,10.4%,14.8%,23.6%,19.6%,14.9%,16.7%,11.5%,36.8%,35.7%,16.0%,2261
Texas,Rains,7.1%,19.8%,24.6%,29.7%,15.3%,3.4%,2.2%,29.4%,47.3%,21.1%,2268
Texas,Randall,13.9%,12.9%,15.3%,36.9%,18.8%,2.3%,4.1%,31.5%,42.5%,21.8%,2274
Texas,Reagan,7.9%,3.8%,17.3%,28.5%,40.3%,2.4%,0.9%,40.4%,35.8%,22.9%,2280
Texas,Real,13.0%,17.8%,10.7%,33.1%,13.0%,12.5%,5.3%,36.9%,40.7%,17.1%,2283
Texas,Red River,6.7%,15.9%,17.1%,35.1%,16.8%,8.5%,4.5%,33.3%,38.5%,23.6%,2295
Texas,Reeves,3.9%,4.2%,10.9%,45.9%,27.8%,7.2%,10.4%,31.9%,38.6%,19.0%,2308
Texas,Refugio,6.5%,8.8%,13.7%,29.4%,30.3%,11.3%,9.0%,26.0%,42.8%,22.2%,2334
Texas,Roberts,2.7%,8.8%,18.3%,19.2%,20.1%,30.8%,4.0%,20.7%,42.7%,32.6%,2348
Texas,Robertson,11.6%,15.6%,21.1%,27.2%,17.3%,7.3%,9.9%,32.7%,36.2%,21.3%,2353
Texas,Rockwall,43.6%,21.0%,19.0%,11.7%,3.5%,1.2%,0.9%,21.5%,51.2%,26.4%,2355
Texas,Runnels,1.8%,8.7%,10.2%,31.7%,25.8%,21.8%,7.1%,28.5%,41.3%,23.1%,2361
Texas,Rusk,10.3%,12.8%,17.8%,31.4%,19.1%,8.5%,4.5%,31.0%,42.6%,21.9%,2367
Texas,Sabine,6.8%,20.2%,22.1%,37.1%,9.1%,4.6%,3.3%,32.8%,44.5%,19.4%,2370
Texas,San Augustine,5.7%,13.3%,22.1%,33.0%,17.1%,8.9%,9.2%,38.8%,35.0%,17.0%,2380
Texas,San Jacinto,13.2%,23.2%,24.8%,29.8%,5.8%,3.3%,7.4%,26.4%,46.5%,19.8%,2387
Texas,San Patricio,13.1%,13.5%,13.6%,33.4%,20.5%,5.9%,8.1%,33.9%,39.8%,18.2%,2415
Texas,San Saba,8.1%,11.2%,13.6%,22.6%,21.2%,23.3%,6.5%,29.5%,44.4%,19.7%,2435
Texas,Schleicher,2.3%,15.4%,20.9%,22.9%,22.9%,15.7%,3.9%,21.4%,46.1%,28.5%,2437
Texas,Scurry,5.5%,7.0%,13.1%,28.8%,37.5%,8.1%,7.0%,34.8%,38.7%,19.5%,2443
Texas,Shackelford,2.5%,5.9%,11.2%,29.2%,23.8%,27.4%,3.3%,32.6%,39.7%,24.4%,2445
Texas,Shelby,8.5%,13.6%,20.3%,34.3%,17.1%,6.2%,8.4%,31.2%,38.0%,22.3%,2448
Texas,Sherman,3.1%,5.3%,10.2%,36.3%,32.2%,13.0%,3.9%,25.2%,47.1%,23.8%,2453
Texas,Smith,16.8%,16.6%,19.6%,28.3%,14.6%,4.1%,5.9%,33.3%,40.1%,20.7%,2465
Texas,Somervell,14.4%,30.0%,25.2%,16.1%,8.7%,5.6%,3.1%,31.0%,40.9%,25.0%,2470
Texas,Starr,14.3%,25.0%,25.6%,25.8%,7.3%,1.9%,9.1%,38.4%,34.7%,17.8%,2474
Texas,Stephens,3.8%,8.3%,18.3%,27.2%,25.2%,17.3%,3.4%,33.9%,50.8%,11.9%,2480
Texas,Sterling,3.4%,7.8%,21.3%,34.3%,21.7%,11.4%,10.1%,22.2%,42.2%,25.6%,2481
Texas,Stonewall,0.0%,2.5%,15.2%,37.3%,27.5%,17.4%,0.8%,28.0%,44.9%,26.2%,2486
Texas,Sutton,4.4%,5.2%,21.0%,33.0%,28.8%,7.6%,4.6%,18.0%,46.8%,30.6%,2490
Texas,Swisher,5.6%,2.5%,7.0%,42.5%,33.7%,8.8%,2.5%,34.4%,42.3%,20.7%,2495
Texas,Tarrant,21.8%,15.5%,20.6%,25.3%,13.1%,3.6%,4.7%,34.3%,42.5%,18.5%,2500
Texas,Taylor,10.1%,10.3%,17.5%,25.9%,27.6%,8.6%,5.5%,35.9%,40.9%,17.7%,2508
Texas,Terrell,0.0%,0.0%,2.2%,21.5%,45.4%,30.9%,7.3%,45.2%,37.4%,10.2%,2518
Texas,Terry,3.2%,5.5%,12.2%,44.4%,31.5%,3.2%,7.1%,38.3%,35.8%,18.8%,2522
Texas,Throckmorton,4.0%,4.4%,4.0%,27.5%,29.4%,30.6%,6.2%,34.5%,41.3%,18.1%,2525
Texas,Titus,13.8%,19.9%,19.3%,29.9%,13.4%,3.7%,4.8%,33.9%,39.6%,21.8%,2531
Texas,Tom Green,8.4%,12.8%,16.3%,32.8%,21.8%,7.8%,6.1%,35.8%,39.3%,18.8%,2536
Texas,Travis,22.6%,18.5%,20.8%,27.1%,8.4%,2.6%,6.3%,39.4%,40.1%,14.2%,2543
Texas,Trinity,6.9%,21.1%,28.1%,27.6%,10.0%,6.3%,5.0%,33.3%,50.0%,11.7%,2553
Texas,Tyler,6.7%,15.8%,18.2%,35.8%,19.1%,4.4%,5.8%,31.5%,42.3%,20.4%,2560
Texas,Upshur,9.9%,17.7%,20.0%,33.7%,13.0%,5.8%,5.2%,28.0%,41.3%,25.5%,2566
Texas,Upton,4.2%,10.8%,13.2%,21.0%,44.3%,6.5%,6.4%,29.9%,37.8%,25.9%,2572
Texas,Uvalde,8.6%,12.9%,17.4%,29.5%,20.9%,10.7%,6.6%,40.2%,36.9%,16.3%,2576
Texas,Val Verde,12.9%,16.7%,15.9%,34.9%,13.6%,6.0%,6.1%,33.7%,42.1%,18.2%,2582
Texas,Van Zandt,14.3%,21.4%,17.7%,31.1%,11.0%,4.4%,4.2%,29.3%,42.1%,24.4%,2586
Texas,Victoria,12.5%,12.5%,18.6%,31.5%,19.6%,5.3%,7.2%,33.3%,41.6%,17.9%,2595
Texas,Walker,13.7%,24.6%,25.9%,27.9%,5.6%,2.4%,6.5%,33.2%,41.9%,18.3%,2603
Texas,Waller,23.4%,26.1%,18.4%,22.4%,6.5%,3.3%,4.2%,31.1%,37.9%,26.8%,2606
Texas,Ward,4.2%,3.2%,10.8%,40.4%,35.5%,5.7%,5.9%,37.6%,37.1%,19.5%,2610
Texas,Washington,13.3%,18.9%,17.4%,27.3%,12.2%,10.8%,6.9%,32.7%,38.7%,21.7%,2613
Texas,Webb,22.9%,26.6%,16.8%,20.5%,9.3%,3.8%,8.9%,35.2%,36.0%,19.9%,2616
Texas,Wharton,7.8%,12.0%,14.0%,35.4%,19.8%,10.9%,7.4%,35.4%,38.5%,18.7%,2618
Texas,Wheeler,6.0%,5.3%,16.1%,27.3%,28.0%,17.4%,3.4%,30.1%,37.4%,29.1%,2623
Texas,Wichita,8.0%,10.2%,14.9%,32.1%,24.5%,10.3%,5.7%,35.3%,40.5%,18.5%,2632
Texas,Wilbarger,6.0%,6.6%,11.1%,28.3%,31.6%,16.4%,8.3%,34.6%,36.6%,20.4%,2634
Texas,Willacy,5.8%,14.2%,12.3%,32.9%,26.2%,8.6%,7.4%,39.6%,37.2%,15.8%,2639
Texas,Williamson,38.7%,26.8%,17.8%,12.2%,2.5%,2.1%,2.7%,29.1%,48.9%,19.2%,2640
Texas,Wilson,24.4%,26.3%,19.0%,18.2%,7.4%,4.7%,2.8%,21.7%,39.8%,35.7%,2641
Texas,Winkler,1.5%,4.1%,9.7%,47.3%,32.1%,5.3%,6.5%,41.1%,36.7%,15.7%,2642
Texas,Wise,22.1%,25.1%,17.0%,22.4%,8.5%,4.9%,3.0%,25.6%,43.1%,28.3%,2643
Texas,Wood,13.0%,22.9%,19.7%,24.9%,14.7%,4.8%,4.5%,29.0%,43.2%,23.3%,2644
Texas,Yoakum,2.7%,7.4%,17.4%,45.6%,21.5%,5.4%,4.6%,33.2%,38.1%,24.2%,2645
Texas,Young,6.0%,5.5%,18.6%,31.3%,25.5%,13.1%,3.7%,34.9%,44.2%,17.1%,2646
Texas,Zapata,13.9%,24.6%,25.4%,24.9%,9.6%,1.6%,3.7%,48.8%,28.5%,19.0%,2650
Texas,Zavala,9.3%,10.5%,7.9%,46.8%,19.0%,6.4%,12.5%,43.4%,29.9%,14.2%,2651
Utah,Beaver,6.0%,14.2%,13.5%,20.5%,16.4%,29.4%,2.2%,26.1%,41.5%,30.2%,2653
Utah,Box Elder,17.5%,13.9%,11.4%,27.9%,13.8%,15.4%,3.4%,19.5%,40.9%,36.2%,2658
Utah,Cache,19.2%,19.6%,12.6%,25.1%,9.4%,14.1%,3.5%,24.3%,42.6%,29.5%,2661
Utah,Carbon,7.2%,10.8%,13.1%,26.0%,26.3%,16.6%,6.9%,25.7%,32.1%,35.2%,2665
Utah,Daggett,4.5%,25.0%,10.8%,37.5%,11.9%,10.2%,0.0%,26.4%,41.5%,32.1%,2668
Utah,Davis,22.7%,22.7%,15.3%,26.7%,10.2%,2.4%,2.6%,21.4%,45.9%,30.2%,2671
Utah,Duchesne,13.1%,19.2%,17.3%,32.8%,11.1%,6.5%,2.7%,22.9%,40.1%,34.2%,2672
Utah,Emery,4.1%,13.6%,19.2%,40.2%,7.8%,15.2%,2.4%,16.9%,41.1%,39.6%,2673
Utah,Garfield,6.6%,15.4%,15.7%,30.2%,10.1%,21.8%,2.9%,17.4%,35.1%,44.6%,2674
Utah,Grand,9.1%,23.4%,9.6%,36.3%,14.4%,7.1%,5.8%,37.9%,33.4%,23.0%,2675
Utah,Iron,27.4%,28.2%,11.2%,18.7%,9.0%,5.5%,3.7%,25.8%,41.4%,29.1%,2676
Utah,Juab,13.8%,23.6%,14.1%,18.2%,11.3%,19.0%,2.4%,17.4%,38.4%,41.7%,2677
Utah,Kane,12.3%,26.3%,19.6%,30.6%,4.7%,6.5%,2.3%,27.5%,35.0%,35.2%,2678
Utah,Millard,6.3%,9.0%,19.1%,25.8%,16.4%,23.4%,5.6%,20.4%,41.0%,33.0%,2680
Utah,Morgan,19.5%,16.3%,9.9%,33.7%,10.2%,10.4%,1.8%,13.3%,41.0%,43.8%,2681
Utah,Piute,5.8%,13.5%,11.7%,23.2%,17.6%,28.2%,0.4%,20.2%,38.0%,41.4%,2685
Utah,Rich,4.6%,14.6%,19.9%,26.4%,13.1%,21.4%,3.1%,16.1%,35.8%,44.9%,2687
Utah,Salt Lake,14.2%,16.4%,14.6%,31.2%,14.3%,9.3%,5.4%,29.2%,40.6%,24.8%,2690
Utah,San Juan,8.8%,17.6%,19.4%,36.4%,13.7%,4.0%,5.9%,39.4%,32.2%,22.5%,2694
Utah,Sanpete,11.3%,18.3%,12.8%,18.6%,10.5%,28.4%,2.4%,21.4%,40.6%,35.6%,2697
Utah,Sevier,10.6%,14.9%,14.3%,27.0%,14.9%,18.1%,3.3%,23.3%,36.0%,37.4%,2702
Utah,Summit,13.3%,34.7%,17.8%,24.0%,4.6%,5.6%,3.0%,20.3%,45.7%,31.1%,2703
Utah,Tooele,27.8%,27.1%,6.1%,19.0%,13.4%,6.7%,3.1%,21.6%,41.3%,34.0%,2707
Utah,Uintah,17.8%,11.5%,20.0%,34.3%,10.7%,5.6%,2.9%,22.6%,41.5%,32.9%,2539
Utah,Utah,27.1%,23.1%,10.6%,23.7%,10.0%,5.4%,3.1%,21.1%,45.2%,30.6%,2555
Utah,Wasatch,24.9%,24.6%,11.5%,21.2%,9.5%,8.3%,2.5%,16.2%,44.1%,37.2%,2567
Utah,Washington,31.9%,32.1%,16.2%,14.4%,2.9%,2.4%,3.3%,29.0%,43.0%,24.7%,2577
Utah,Wayne,11.8%,16.9%,15.4%,28.9%,11.1%,15.9%,1.9%,15.0%,42.5%,40.6%,2580
Utah,Weber,16.5%,16.2%,12.0%,28.2%,17.9%,9.1%,5.6%,26.0%,40.5%,27.9%,2587
Vermont,Addison,7.2%,16.1%,16.1%,25.5%,7.1%,28.0%,4.2%,29.9%,42.5%,23.5%,2590
Vermont,Bennington,5.6%,9.2%,14.5%,27.3%,12.8%,30.5%,6.4%,34.1%,41.8%,17.7%,2591
Vermont,Caledonia,5.4%,9.1%,12.8%,21.6%,8.4%,42.7%,6.8%,35.0%,38.3%,19.9%,2596
Vermont,Chittenden,10.0%,13.8%,17.7%,27.3%,12.2%,19.0%,7.1%,34.8%,40.7%,17.4%,2599
Vermont,Essex,6.0%,11.1%,16.0%,23.8%,10.8%,32.3%,4.9%,31.7%,43.9%,19.5%,2604
Vermont,Franklin,10.2%,14.0%,16.5%,19.3%,8.0%,31.9%,5.1%,28.7%,44.1%,22.1%,2607
Vermont,Grand Isle,11.0%,20.2%,17.7%,20.7%,7.5%,22.8%,2.8%,25.4%,41.8%,30.0%,2609
Vermont,Lamoille,8.8%,14.2%,19.1%,25.2%,7.0%,25.7%,5.8%,29.3%,44.1%,20.8%,2611
Vermont,Orange,7.1%,12.6%,17.4%,23.6%,6.7%,32.6%,4.4%,27.9%,43.0%,24.7%,2612
Vermont,Orleans,7.7%,11.8%,13.6%,22.0%,7.0%,38.0%,6.2%,34.3%,41.4%,18.2%,2614
Vermont,Rutland,5.3%,7.6%,15.0%,24.5%,11.8%,35.7%,6.6%,33.5%,39.8%,20.1%,2615
Vermont,Washington,6.9%,8.5%,14.3%,25.1%,10.5%,34.6%,6.3%,34.2%,42.2%,17.3%,2617
Vermont,Windham,5.0%,8.6%,13.5%,25.4%,11.6%,35.9%,7.5%,34.3%,39.3%,18.8%,2620
Vermont,Windsor,5.7%,10.9%,14.8%,24.9%,12.5%,31.1%,4.9%,34.8%,38.7%,21.5%,2625
Virginia,Accomack,6.3%,14.6%,14.5%,26.1%,15.7%,22.8%,9.1%,31.0%,40.1%,19.7%,2719
Virginia,Albemarle,20.0%,24.7%,17.9%,23.9%,7.2%,6.3%,4.8%,32.1%,39.3%,23.9%,2728
Virginia,Alleghany,4.0%,12.9%,9.4%,32.5%,20.0%,21.2%,6.8%,24.9%,32.0%,36.2%,2733
Virginia,Amelia,16.6%,21.8%,16.5%,28.9%,10.2%,6.0%,2.9%,25.2%,35.2%,36.7%,2741
Virginia,Amherst,7.8%,18.2%,17.4%,32.7%,15.1%,8.9%,6.9%,26.0%,34.1%,33.1%,2746
Virginia,Appomattox,6.1%,23.7%,11.8%,35.4%,14.8%,8.2%,7.8%,25.0%,33.4%,33.8%,2749
Virginia,Arlington,11.2%,9.2%,12.3%,23.6%,34.9%,8.9%,11.6%,48.8%,29.9%,9.7%,2753
Virginia,Augusta,7.3%,24.2%,17.0%,26.1%,12.9%,12.5%,3.4%,23.5%,35.1%,38.1%,2758
Virginia,Bath,6.1%,15.2%,6.9%,25.1%,12.6%,34.1%,3.8%,17.9%,34.7%,43.6%,2763
Virginia,Bedford County,15.9%,26.8%,20.9%,24.2%,7.0%,5.2%,4.4%,20.6%,38.3%,36.7%,2769
Virginia,Bland,10.2%,23.1%,10.7%,31.2%,15.0%,9.8%,4.1%,26.5%,36.1%,33.3%,2772
Virginia,Botetourt,12.6%,23.9%,15.4%,29.2%,8.3%,10.7%,2.1%,21.1%,39.1%,37.6%,2776
Virginia,Brunswick,7.9%,18.6%,19.8%,31.8%,14.4%,7.5%,10.2%,27.3%,32.5%,30.1%,2777
Virginia,Buchanan,6.4%,17.1%,17.8%,35.6%,18.5%,4.5%,12.1%,28.2%,33.3%,26.4%,2784
Virginia,Buckingham,8.9%,21.2%,20.2%,21.8%,20.1%,7.8%,12.4%,20.3%,33.3%,34.0%,2785
Virginia,Campbell,9.0%,19.0%,18.4%,36.9%,11.8%,4.9%,5.7%,28.9%,36.3%,29.1%,2788
Virginia,Caroline,27.7%,19.0%,15.8%,21.4%,8.6%,7.5%,3.3%,24.2%,35.0%,37.5%,2793
Virginia,Carroll,7.1%,22.0%,13.2%,35.8%,14.3%,7.7%,7.6%,26.3%,37.4%,28.7%,2797
Virginia,Charles City,13.2%,22.3%,14.3%,33.6%,10.0%,6.6%,4.6%,24.8%,30.7%,39.8%,2806
Virginia,Charlotte,8.4%,20.3%,17.1%,21.0%,17.6%,15.6%,9.2%,20.4%,36.9%,33.5%,2810
Virginia,Chesterfield,18.6%,20.1%,25.9%,28.5%,5.4%,1.4%,2.7%,24.9%,41.9%,30.5%,2816
Virginia,Clarke,13.8%,11.6%,15.7%,24.5%,16.0%,18.4%,3.4%,20.2%,40.7%,35.8%,2819
Virginia,Craig,5.6%,26.9%,18.8%,23.9%,17.5%,7.3%,1.3%,25.1%,33.8%,39.7%,2820
Virginia,Culpeper,24.9%,19.4%,14.7%,22.8%,10.6%,7.6%,4.6%,22.0%,39.1%,34.3%,2824
Virginia,Cumberland,12.1%,28.2%,10.1%,28.7%,8.7%,12.2%,10.4%,29.3%,36.8%,23.5%,2827
Virginia,Dickenson,5.7%,15.6%,18.9%,30.4%,20.9%,8.6%,8.1%,30.2%,36.7%,24.9%,2832
Virginia,Dinwiddie,14.9%,17.0%,17.9%,31.2%,12.3%,6.7%,5.7%,23.9%,32.0%,38.4%,2838
Virginia,Essex,12.6%,19.0%,15.0%,32.0%,10.3%,11.1%,4.6%,29.2%,36.1%,30.1%,2842
Virginia,Fairfax County,10.4%,16.1%,23.7%,35.6%,12.7%,1.5%,3.7%,29.8%,42.8%,23.6%,2849
Virginia,Fauquier,13.6%,18.5%,24.2%,23.9%,7.9%,11.8%,2.9%,19.0%,37.6%,40.5%,2853
Virginia,Floyd,8.4%,18.9%,16.5%,25.4%,15.0%,15.8%,5.8%,23.9%,40.5%,29.8%,2856
Virginia,Fluvanna,17.6%,29.8%,16.7%,20.7%,7.0%,8.2%,3.6%,21.0%,42.3%,33.2%,2858
Virginia,Franklin County,10.7%,25.4%,18.3%,25.2%,12.4%,7.9%,4.7%,23.2%,36.9%,35.1%,2862
Virginia,Frederick,24.1%,22.7%,20.2%,21.0%,6.6%,5.3%,2.8%,20.5%,44.3%,32.4%,2868
Virginia,Giles,7.1%,16.4%,12.3%,24.1%,25.8%,14.3%,6.1%,27.1%,39.0%,27.9%,2873
Virginia,Gloucester,10.0%,17.1%,30.2%,25.2%,10.5%,7.1%,3.4%,20.6%,41.4%,34.6%,2887
Virginia,Goochland,23.6%,23.5%,19.8%,20.0%,9.3%,3.9%,2.4%,15.5%,39.8%,42.3%,2892
Virginia,Grayson,6.2%,18.0%,16.9%,29.2%,15.5%,14.3%,6.9%,28.1%,34.5%,30.5%,2896
Virginia,Greene,15.9%,32.6%,12.5%,28.8%,4.0%,6.1%,3.0%,25.6%,39.7%,31.7%,2899
Virginia,Greensville,16.1%,16.0%,14.1%,36.2%,15.2%,2.5%,7.4%,23.4%,40.5%,28.7%,2902
Virginia,Halifax,7.9%,18.7%,13.7%,30.6%,19.1%,10.0%,10.0%,30.7%,28.3%,31.0%,2904
Virginia,Hanover,16.1%,25.7%,19.5%,26.5%,8.6%,3.7%,2.4%,18.9%,40.1%,38.6%,2909
Virginia,Henrico,15.0%,17.5%,19.3%,27.0%,18.6%,2.6%,5.2%,33.9%,39.7%,21.2%,2915
Virginia,Henry,5.4%,13.3%,15.9%,41.3%,18.5%,5.6%,6.8%,31.7%,33.5%,28.0%,2918
Virginia,Highland,3.9%,12.7%,6.8%,20.7%,15.3%,40.5%,1.8%,21.7%,29.7%,46.8%,2920
Virginia,Isle of Wight,19.9%,21.3%,18.6%,22.9%,11.5%,5.8%,4.8%,22.1%,37.4%,35.7%,2925
Virginia,James City,28.2%,25.8%,22.4%,17.3%,5.0%,1.2%,3.8%,25.7%,45.6%,24.9%,2930
Virginia,King and Queen,11.3%,22.5%,14.5%,25.7%,15.3%,10.8%,3.7%,27.3%,28.4%,40.5%,2936
Virginia,King George,28.6%,19.2%,16.6%,22.4%,8.5%,4.7%,4.8%,19.6%,40.4%,35.1%,2938
Virginia,King William,15.0%,21.6%,18.6%,29.6%,5.6%,9.5%,4.9%,18.2%,39.1%,37.8%,2943
Virginia,Lancaster,6.1%,19.4%,15.5%,29.5%,16.9%,12.7%,7.2%,29.1%,42.7%,20.9%,2948
Virginia,Lee,4.7%,17.5%,14.2%,35.7%,17.9%,10.0%,12.1%,27.5%,34.7%,25.6%,2950
Virginia,Loudoun,39.2%,30.1%,13.2%,12.2%,2.0%,3.3%,2.1%,23.9%,49.7%,24.4%,2952
Virginia,Louisa,18.8%,26.0%,15.2%,23.8%,5.0%,11.1%,4.5%,24.3%,31.9%,39.3%,2953
Virginia,Lunenburg,11.3%,17.8%,11.8%,30.1%,16.0%,13.0%,7.5%,29.1%,37.4%,26.0%,2954
Virginia,Madison,5.6%,18.6%,13.4%,32.3%,10.6%,19.6%,2.9%,21.5%,34.2%,41.4%,2955
Virginia,Mathews,5.2%,18.7%,13.9%,28.7%,12.0%,21.6%,3.5%,24.9%,40.3%,31.3%,2962
Virginia,Mecklenburg,10.6%,21.6%,16.6%,27.0%,14.8%,9.4%,8.3%,30.0%,34.6%,27.0%,2964
Virginia,Middlesex,9.4%,19.8%,16.2%,24.9%,12.9%,16.9%,3.2%,27.7%,37.6%,31.6%,2965
