County,State,Households with one or more people under 18 years,Households with one or more people 60 years and over,1-unit structures,2-unit structures,Mobile homes and all other types of units
Pointe Coupee Parish,Louisiana,23.3%,50.7%,79.1%,3.6%,17.3%
Rapides Parish,Louisiana,35.6%,39.5%,70.5%,14.4%,15.1%
Red River Parish,Louisiana,29.7%,45.1%,63.5%,8.7%,27.8%
Richland Parish,Louisiana,33.5%,41.6%,74.0%,6.2%,19.8%
Sabine Parish,Louisiana,29.0%,46.9%,52.4%,6.8%,40.8%
St. Bernard Parish,Louisiana,37.2%,34.7%,81.6%,13.2%,5.1%
St. Charles Parish,Louisiana,36.2%,37.8%,81.8%,10.5%,7.7%
St. Helena Parish,Louisiana,36.3%,49.0%,62.5%,5.0%,32.5%
St. James Parish,Louisiana,34.3%,47.4%,76.1%,8.6%,15.3%
St. John the Baptist Parish,Louisiana,34.8%,41.1%,82.1%,7.4%,10.6%
St. Landry Parish,Louisiana,34.1%,42.2%,74.0%,9.2%,16.8%
St. Martin Parish,Louisiana,34.9%,40.8%,71.8%,3.2%,25.0%
St. Mary Parish,Louisiana,23.2%,45.6%,71.9%,9.7%,18.4%
St. Tammany Parish,Louisiana,32.6%,44.9%,82.4%,11.6%,6.0%
Tangipahoa Parish,Louisiana,33.4%,39.9%,69.3%,11.7%,19.0%
Tensas Parish,Louisiana,18.9%,59.0%,88.1%,4.0%,7.9%
Terrebonne Parish,Louisiana,35.2%,39.9%,71.3%,12.4%,16.4%
Union Parish,Louisiana,27.3%,49.3%,64.2%,5.8%,30.0%
Vermilion Parish,Louisiana,38.0%,41.4%,71.4%,9.6%,19.0%
Vernon Parish,Louisiana,36.1%,31.1%,59.0%,22.3%,18.7%
Washington Parish,Louisiana,32.3%,48.9%,70.5%,5.8%,23.7%
Webster Parish,Louisiana,27.6%,43.2%,70.0%,8.3%,21.7%
West Baton Rouge Parish,Louisiana,35.6%,36.4%,73.0%,5.6%,21.4%
West Carroll Parish,Louisiana,27.9%,46.1%,71.9%,2.0%,26.1%
West Feliciana Parish,Louisiana,25.8%,43.9%,61.0%,11.6%,27.4%
Winn Parish,Louisiana,28.0%,45.9%,67.8%,9.6%,22.6%
Androscoggin County,Maine,27.6%,39.8%,59.4%,31.8%,8.8%
Aroostook County,Maine,23.3%,50.0%,71.6%,18.4%,10.0%
Cumberland County,Maine,25.6%,40.4%,69.4%,26.8%,3.7%
Franklin County,Maine,25.4%,48.1%,74.7%,15.2%,10.1%
Hancock County,Maine,23.4%,51.3%,78.1%,13.2%,8.7%
Kennebec County,Maine,24.7%,43.2%,66.4%,22.9%,10.7%
Knox County,Maine,22.6%,54.1%,77.5%,14.7%,7.9%
Lincoln County,Maine,21.8%,53.9%,77.1%,10.7%,12.2%
Oxford County,Maine,22.8%,51.8%,75.2%,11.7%,13.1%
Penobscot County,Maine,25.2%,42.1%,65.4%,22.0%,12.7%
Piscataquis County,Maine,21.6%,55.3%,75.6%,10.9%,13.5%
Sagadahoc County,Maine,27.2%,44.9%,75.4%,14.3%,10.4%
Somerset County,Maine,22.8%,48.7%,73.4%,9.9%,16.7%
Waldo County,Maine,25.4%,48.0%,73.6%,11.3%,15.1%
Washington County,Maine,24.9%,51.7%,74.8%,11.4%,13.8%
York County,Maine,26.1%,45.9%,71.4%,21.9%,6.7%
Allegany County,Maryland,25.2%,46.1%,80.9%,16.4%,2.7%
Anne Arundel County,Maryland,32.2%,38.5%,80.9%,17.8%,1.3%
Baltimore County,Maryland,30.3%,42.9%,71.9%,27.3%,0.8%
Calvert County,Maryland,35.4%,41.1%,93.6%,5.5%,0.8%
Caroline County,Maryland,35.6%,41.8%,83.9%,11.1%,5.0%
Carroll County,Maryland,32.9%,43.0%,87.7%,11.1%,1.1%
Cecil County,Maryland,31.6%,42.3%,80.7%,14.2%,5.1%
Charles County,Maryland,38.0%,36.1%,90.7%,8.5%,0.9%
Dorchester County,Maryland,27.7%,46.4%,80.0%,15.1%,4.9%
Frederick County,Maryland,35.6%,38.2%,83.4%,15.8%,0.8%
Garrett County,Maryland,28.5%,48.0%,82.4%,8.5%,9.1%
Harford County,Maryland,33.3%,41.0%,81.9%,15.4%,2.7%
Howard County,Maryland,37.1%,36.2%,74.2%,24.9%,0.9%
Kent County,Maryland,19.1%,53.4%,82.4%,16.1%,1.5%
Montgomery County,Maryland,34.8%,39.8%,66.7%,33.2%,0.1%
Prince George's County,Maryland,31.8%,38.4%,68.0%,31.5%,0.4%
Queen Anne's County,Maryland,30.3%,45.2%,88.6%,8.6%,2.8%
St. Mary's County,Maryland,36.7%,34.3%,81.6%,15.1%,3.3%
Somerset County,Maryland,31.7%,46.3%,71.3%,20.3%,8.4%
Talbot County,Maryland,22.7%,54.5%,83.2%,14.4%,2.5%
Washington County,Maryland,31.3%,41.6%,79.2%,17.6%,3.1%
Wicomico County,Maryland,29.9%,40.8%,75.7%,20.3%,4.0%
Worcester County,Maryland,21.6%,56.7%,77.6%,16.1%,6.2%
Baltimore city,Maryland,24.0%,37.1%,65.2%,34.7%,0.1%
Barnstable County,Massachusetts,19.4%,59.0%,84.7%,14.9%,0.4%
Berkshire County,Massachusetts,21.6%,49.9%,67.6%,30.4%,2.1%
Bristol County,Massachusetts,30.3%,42.2%,58.1%,40.4%,1.5%
Dukes County,Massachusetts,22.8%,54.9%,86.9%,13.0%,0.2%
Essex County,Massachusetts,31.0%,43.3%,58.0%,41.4%,0.6%
Franklin County,Massachusetts,23.2%,48.3%,68.8%,29.6%,1.6%
Hampden County,Massachusetts,29.5%,42.4%,61.5%,37.1%,1.5%
Hampshire County,Massachusetts,24.5%,44.0%,67.2%,31.7%,1.0%
Middlesex County,Massachusetts,29.6%,38.2%,55.2%,44.5%,0.3%
Nantucket County,Massachusetts,30.5%,47.9%,80.4%,19.4%,0.2%
Norfolk County,Massachusetts,31.3%,41.9%,64.0%,35.6%,0.4%
Plymouth County,Massachusetts,32.5%,46.5%,75.1%,22.5%,2.5%
Suffolk County,Massachusetts,22.6%,31.2%,20.4%,79.4%,0.3%
Worcester County,Massachusetts,30.9%,40.1%,64.5%,34.7%,0.7%
Alcona County,Michigan,16.6%,65.2%,89.6%,2.4%,8.0%
Alger County,Michigan,17.0%,58.4%,84.7%,10.6%,4.7%
Allegan County,Michigan,32.8%,40.5%,80.9%,7.6%,11.5%
Alpena County,Michigan,23.0%,47.5%,80.9%,13.6%,5.5%
Antrim County,Michigan,22.0%,56.3%,87.4%,5.2%,7.4%
Arenac County,Michigan,21.6%,54.9%,80.4%,6.9%,12.7%
Baraga County,Michigan,22.6%,50.0%,83.1%,10.5%,6.4%
Barry County,Michigan,29.5%,43.8%,86.9%,5.0%,8.1%
Bay County,Michigan,26.2%,44.2%,81.5%,13.8%,4.8%
Benzie County,Michigan,20.6%,56.4%,88.9%,3.2%,7.9%
Berrien County,Michigan,27.6%,44.5%,77.5%,17.8%,4.7%
Branch County,Michigan,31.6%,42.4%,77.8%,10.0%,12.2%
Calhoun County,Michigan,28.1%,41.7%,74.3%,19.7%,6.0%
Cass County,Michigan,29.8%,47.3%,84.0%,7.1%,8.9%
Charlevoix County,Michigan,23.0%,50.0%,81.1%,10.2%,8.7%
Cheboygan County,Michigan,21.7%,56.2%,86.4%,5.3%,8.3%
Chippewa County,Michigan,26.9%,44.8%,77.6%,14.7%,7.7%
Clare County,Michigan,24.2%,52.4%,78.4%,7.2%,14.4%
Clinton County,Michigan,31.1%,39.8%,83.3%,10.2%,6.4%
Crawford County,Michigan,23.3%,54.1%,85.6%,7.1%,7.2%
Delta County,Michigan,25.2%,51.0%,79.6%,13.3%,7.1%
Dickinson County,Michigan,24.5%,48.5%,82.9%,11.1%,5.9%
Eaton County,Michigan,27.4%,42.3%,75.7%,19.5%,4.8%
Emmet County,Michigan,25.5%,46.8%,75.9%,17.1%,7.0%
Genesee County,Michigan,29.0%,41.9%,79.6%,14.9%,5.4%
Gladwin County,Michigan,23.2%,54.3%,77.5%,6.0%,16.4%
Gogebic County,Michigan,18.9%,50.0%,84.6%,12.7%,2.7%
Grand Traverse County,Michigan,25.3%,44.6%,76.6%,15.9%,7.5%
Gratiot County,Michigan,29.4%,42.5%,79.3%,12.1%,8.6%
Hillsdale County,Michigan,27.3%,45.4%,81.6%,9.2%,9.3%
Houghton County,Michigan,23.7%,41.0%,73.7%,23.0%,3.3%
Huron County,Michigan,21.2%,51.1%,86.5%,7.2%,6.3%
Ingham County,Michigan,24.9%,34.9%,68.7%,28.6%,2.7%
Ionia County,Michigan,32.1%,40.0%,75.4%,13.4%,11.2%
Iosco County,Michigan,20.4%,57.7%,85.0%,8.8%,6.2%
Iron County,Michigan,16.7%,59.4%,86.4%,9.9%,3.6%
Isabella County,Michigan,26.2%,33.7%,64.4%,25.9%,9.7%
Jackson County,Michigan,26.9%,41.8%,78.7%,15.6%,5.7%
Kalamazoo County,Michigan,29.0%,36.1%,69.8%,26.9%,3.3%
Kalkaska County,Michigan,26.7%,48.7%,80.7%,5.4%,14.0%
Kent County,Michigan,33.0%,35.4%,73.2%,22.8%,3.9%
Keweenaw County,Michigan,14.7%,58.0%,92.5%,4.4%,3.2%
Lake County,Michigan,16.4%,60.6%,72.7%,6.4%,20.9%
Lapeer County,Michigan,29.3%,44.3%,84.9%,7.7%,7.4%
Leelanau County,Michigan,19.7%,62.4%,92.4%,4.5%,3.1%
Lenawee County,Michigan,29.4%,43.9%,81.4%,12.0%,6.7%
Livingston County,Michigan,29.3%,42.7%,84.4%,10.0%,5.6%
Luce County,Michigan,21.3%,49.5%,85.6%,5.9%,8.5%
Mackinac County,Michigan,20.1%,50.2%,78.8%,13.4%,7.8%
Macomb County,Michigan,28.2%,42.1%,79.0%,17.5%,3.5%
Manistee County,Michigan,21.3%,55.5%,86.4%,7.4%,6.2%
Marquette County,Michigan,23.2%,43.8%,74.4%,20.7%,4.9%
Mason County,Michigan,25.5%,51.0%,76.1%,14.0%,9.9%
Mecosta County,Michigan,25.0%,44.7%,71.1%,12.7%,16.1%
Menominee County,Michigan,21.1%,48.8%,79.1%,13.4%,7.5%
Midland County,Michigan,30.1%,40.4%,77.6%,14.0%,8.4%
Missaukee County,Michigan,28.1%,48.0%,80.2%,3.9%,15.8%
Monroe County,Michigan,27.9%,42.4%,80.6%,11.3%,8.2%
Montcalm County,Michigan,29.5%,43.5%,76.6%,9.1%,14.4%
Montmorency County,Michigan,18.4%,58.4%,90.4%,2.0%,7.6%
Muskegon County,Michigan,31.8%,42.8%,79.9%,12.5%,7.6%
Newaygo County,Michigan,29.1%,45.6%,73.2%,5.7%,21.1%
Oakland County,Michigan,27.7%,39.9%,75.5%,21.6%,2.9%
Oceana County,Michigan,28.8%,49.3%,77.1%,4.0%,18.9%
Ogemaw County,Michigan,22.8%,54.7%,83.1%,6.7%,10.3%
Ontonagon County,Michigan,12.0%,63.4%,88.7%,5.6%,5.7%
Osceola County,Michigan,29.7%,46.7%,77.6%,6.6%,15.9%
Oscoda County,Michigan,22.6%,57.9%,86.1%,4.0%,9.9%
Otsego County,Michigan,28.0%,46.6%,78.9%,11.7%,9.4%
Ottawa County,Michigan,34.2%,38.4%,77.1%,17.1%,5.8%
Presque Isle County,Michigan,19.7%,59.1%,90.3%,4.3%,5.4%
Roscommon County,Michigan,16.6%,61.4%,85.6%,5.9%,8.5%
Saginaw County,Michigan,27.8%,44.3%,80.7%,15.8%,3.4%
St. Clair County,Michigan,28.2%,43.9%,82.2%,10.7%,7.1%
St. Joseph County,Michigan,30.8%,42.7%,80.6%,12.2%,7.2%
Sanilac County,Michigan,27.4%,46.0%,82.0%,8.3%,9.7%
Schoolcraft County,Michigan,20.2%,53.9%,86.8%,8.1%,5.1%
Shiawassee County,Michigan,28.7%,43.8%,83.0%,11.7%,5.3%
Tuscola County,Michigan,27.0%,47.3%,83.3%,6.3%,10.4%
Van Buren County,Michigan,31.9%,44.9%,77.5%,9.9%,12.6%
Washtenaw County,Michigan,25.0%,34.2%,65.0%,31.5%,3.5%
Wayne County,Michigan,29.1%,39.9%,76.9%,21.3%,1.8%
Wexford County,Michigan,30.3%,46.0%,76.6%,10.8%,12.6%
Aitkin County,Minnesota,19.8%,59.2%,82.5%,6.6%,10.9%
Anoka County,Minnesota,33.5%,37.6%,83.5%,13.2%,3.2%
Becker County,Minnesota,30.4%,46.7%,80.8%,10.5%,8.7%
Beltrami County,Minnesota,29.8%,39.6%,73.0%,16.6%,10.4%
Benton County,Minnesota,29.7%,31.8%,66.2%,28.8%,5.0%
Big Stone County,Minnesota,20.6%,52.0%,80.8%,15.9%,3.3%
Blue Earth County,Minnesota,27.2%,31.8%,65.6%,29.7%,4.7%
Brown County,Minnesota,26.5%,44.0%,83.0%,15.5%,1.5%
Carlton County,Minnesota,30.1%,40.2%,83.1%,10.8%,6.1%
Carver County,Minnesota,37.9%,33.4%,85.9%,12.5%,1.6%
Cass County,Minnesota,24.7%,51.9%,82.2%,9.0%,8.8%
Chippewa County,Minnesota,29.2%,41.8%,81.1%,17.2%,1.7%
Chisago County,Minnesota,33.3%,39.4%,88.2%,7.5%,4.2%
Clay County,Minnesota,33.3%,31.5%,71.8%,26.1%,2.0%
Clearwater County,Minnesota,26.7%,47.3%,75.2%,9.4%,15.4%
Cook County,Minnesota,19.2%,51.2%,84.1%,13.0%,2.9%
Cottonwood County,Minnesota,27.4%,46.6%,89.3%,10.1%,0.6%
Crow Wing County,Minnesota,25.1%,47.2%,80.4%,14.9%,4.6%
Dakota County,Minnesota,34.7%,36.2%,77.1%,20.8%,2.1%
Dodge County,Minnesota,38.4%,36.8%,87.1%,8.4%,4.5%
Douglas County,Minnesota,24.1%,46.4%,76.8%,19.4%,3.7%
Faribault County,Minnesota,24.3%,48.4%,88.7%,10.4%,1.0%
Fillmore County,Minnesota,29.2%,44.4%,86.6%,10.1%,3.3%
Freeborn County,Minnesota,28.0%,45.8%,84.0%,13.4%,2.6%
Goodhue County,Minnesota,29.3%,42.2%,77.9%,17.9%,4.2%
Grant County,Minnesota,26.1%,48.1%,86.9%,9.8%,3.3%
Hennepin County,Minnesota,27.9%,33.8%,62.9%,36.8%,0.3%
Houston County,Minnesota,26.9%,44.8%,85.7%,9.0%,5.3%
Hubbard County,Minnesota,23.6%,52.5%,80.9%,9.9%,9.2%
Isanti County,Minnesota,30.4%,40.3%,87.4%,9.7%,3.0%
Itasca County,Minnesota,25.1%,50.3%,79.5%,11.6%,8.9%
Jackson County,Minnesota,25.7%,44.2%,93.1%,6.3%,0.6%
Kanabec County,Minnesota,27.2%,47.4%,80.5%,7.1%,12.4%
Kandiyohi County,Minnesota,28.9%,41.1%,80.0%,16.9%,3.0%
Kittson County,Minnesota,26.3%,44.5%,83.0%,11.2%,5.7%
Koochiching County,Minnesota,21.4%,49.6%,80.7%,11.4%,7.9%
Lac qui Parle County,Minnesota,23.0%,50.5%,88.7%,9.4%,1.9%
Lake County,Minnesota,23.5%,47.5%,87.6%,9.5%,2.9%
Lake of the Woods County,Minnesota,13.4%,56.8%,76.3%,7.8%,15.9%
Le Sueur County,Minnesota,32.1%,40.9%,87.7%,10.4%,1.9%
Lincoln County,Minnesota,25.9%,47.5%,89.6%,9.1%,1.3%
Lyon County,Minnesota,31.2%,36.9%,77.1%,20.7%,2.2%
McLeod County,Minnesota,26.1%,41.3%,76.2%,19.0%,4.8%
Mahnomen County,Minnesota,35.3%,46.0%,80.0%,11.6%,8.4%
Marshall County,Minnesota,25.5%,44.2%,78.7%,11.4%,9.9%
Martin County,Minnesota,23.4%,46.6%,83.9%,15.0%,1.1%
Meeker County,Minnesota,29.4%,44.5%,84.3%,10.8%,4.8%
Mille Lacs County,Minnesota,29.3%,42.8%,78.4%,13.7%,7.8%
Morrison County,Minnesota,28.5%,43.8%,82.6%,11.0%,6.4%
Mower County,Minnesota,31.9%,41.0%,82.1%,16.3%,1.6%
Murray County,Minnesota,23.7%,51.0%,91.4%,7.5%,1.0%
Nicollet County,Minnesota,31.9%,39.2%,74.5%,20.0%,5.5%
Nobles County,Minnesota,33.2%,43.3%,81.3%,16.4%,2.4%
Norman County,Minnesota,25.9%,46.8%,87.0%,9.7%,3.3%
Olmsted County,Minnesota,31.6%,35.2%,75.2%,22.3%,2.5%
Otter Tail County,Minnesota,25.5%,48.9%,81.4%,13.6%,5.0%
Pennington County,Minnesota,27.0%,41.6%,73.3%,17.8%,8.8%
Pine County,Minnesota,23.7%,50.0%,78.5%,9.6%,11.8%
Pipestone County,Minnesota,27.9%,43.1%,83.5%,14.8%,1.7%
Polk County,Minnesota,28.8%,41.0%,76.9%,19.0%,4.0%
Pope County,Minnesota,24.1%,47.4%,86.6%,9.8%,3.6%
Ramsey County,Minnesota,28.7%,36.8%,61.6%,36.9%,1.6%
Red Lake County,Minnesota,29.4%,46.4%,81.5%,10.2%,8.3%
Redwood County,Minnesota,26.3%,44.7%,87.3%,10.9%,1.8%
Renville County,Minnesota,26.0%,44.8%,87.4%,11.0%,1.6%
Rice County,Minnesota,31.0%,41.3%,76.9%,18.6%,4.5%
Rock County,Minnesota,36.2%,40.5%,88.8%,10.3%,1.0%
Roseau County,Minnesota,29.6%,42.1%,73.2%,15.5%,11.3%
St. Louis County,Minnesota,23.4%,42.5%,74.9%,21.5%,3.6%
Scott County,Minnesota,42.2%,31.3%,88.2%,10.7%,1.1%
Sherburne County,Minnesota,38.0%,31.7%,87.2%,11.3%,1.4%
Sibley County,Minnesota,27.1%,42.4%,87.3%,11.1%,1.6%
Stearns County,Minnesota,29.9%,36.6%,74.9%,23.1%,2.0%
Steele County,Minnesota,31.2%,39.6%,81.2%,15.5%,3.3%
Stevens County,Minnesota,24.8%,39.2%,83.4%,14.9%,1.8%
Swift County,Minnesota,30.6%,44.4%,81.9%,15.2%,3.0%
Todd County,Minnesota,28.6%,48.3%,85.4%,6.9%,7.7%
Traverse County,Minnesota,25.0%,45.7%,84.8%,14.0%,1.2%
Wabasha County,Minnesota,27.4%,45.5%,82.2%,10.1%,7.7%
Wadena County,Minnesota,29.8%,44.6%,79.6%,14.4%,6.1%
Waseca County,Minnesota,33.7%,43.3%,86.7%,10.1%,3.2%
Washington County,Minnesota,34.5%,38.2%,86.0%,12.5%,1.5%
Watonwan County,Minnesota,28.8%,46.0%,81.7%,13.9%,4.4%
Wilkin County,Minnesota,27.7%,43.2%,82.2%,13.5%,4.3%
Winona County,Minnesota,22.2%,39.0%,73.4%,22.7%,3.9%
Wright County,Minnesota,38.4%,33.4%,86.9%,9.5%,3.7%
Yellow Medicine County,Minnesota,30.3%,45.3%,90.8%,8.0%,1.2%
Adams County,Mississippi,26.4%,53.1%,74.1%,13.7%,12.2%
Alcorn County,Mississippi,30.6%,44.8%,70.5%,14.9%,14.6%
Amite County,Mississippi,26.2%,44.8%,65.6%,2.5%,31.9%
Attala County,Mississippi,32.1%,44.4%,70.9%,12.3%,16.9%
Benton County,Mississippi,25.4%,47.3%,70.1%,3.0%,26.9%
Bolivar County,Mississippi,34.3%,39.9%,72.5%,19.2%,8.3%
Calhoun County,Mississippi,27.8%,43.6%,76.5%,7.1%,16.4%
Carroll County,Mississippi,25.6%,53.8%,76.9%,4.7%,18.4%
Chickasaw County,Mississippi,36.7%,42.8%,70.9%,8.2%,20.8%
Choctaw County,Mississippi,28.5%,51.4%,70.7%,5.7%,23.7%
Claiborne County,Mississippi,22.9%,49.1%,59.7%,5.0%,35.4%
Clarke County,Mississippi,31.4%,49.1%,65.7%,3.2%,31.0%
Clay County,Mississippi,27.0%,41.2%,73.3%,12.2%,14.5%
Coahoma County,Mississippi,34.7%,42.0%,69.0%,22.8%,8.3%
Copiah County,Mississippi,31.0%,45.5%,68.6%,4.4%,27.0%
Covington County,Mississippi,34.7%,39.8%,59.8%,5.0%,35.2%
DeSoto County,Mississippi,38.8%,34.9%,84.9%,10.6%,4.5%
Forrest County,Mississippi,32.2%,35.6%,65.6%,23.6%,10.8%
Franklin County,Mississippi,30.2%,50.3%,73.3%,3.8%,22.8%
George County,Mississippi,31.6%,41.1%,76.8%,4.2%,18.9%
Greene County,Mississippi,26.3%,43.0%,69.7%,4.0%,26.3%
Grenada County,Mississippi,28.7%,41.6%,77.2%,11.1%,11.7%
Hancock County,Mississippi,36.5%,45.7%,80.0%,10.4%,9.6%
Harrison County,Mississippi,33.4%,38.3%,69.0%,23.0%,8.0%
Hinds County,Mississippi,30.6%,38.9%,72.8%,23.6%,3.6%
Holmes County,Mississippi,31.2%,43.0%,55.9%,14.4%,29.8%
Humphreys County,Mississippi,31.2%,46.4%,80.9%,10.0%,9.1%
Issaquena County,Mississippi,21.0%,56.1%,51.1%,25.3%,23.6%
Itawamba County,Mississippi,32.3%,42.2%,75.2%,3.4%,21.4%
Jackson County,Mississippi,31.8%,41.2%,78.6%,13.0%,8.5%
Jasper County,Mississippi,33.2%,50.2%,67.1%,3.6%,29.2%
Jefferson County,Mississippi,32.5%,49.2%,55.5%,10.0%,34.4%
Jefferson Davis County,Mississippi,25.7%,50.0%,72.3%,2.6%,25.1%
Jones County,Mississippi,34.5%,44.4%,71.7%,8.5%,19.8%
Kemper County,Mississippi,29.5%,47.1%,74.7%,12.9%,12.4%
Lafayette County,Mississippi,28.4%,32.7%,67.9%,22.5%,9.6%
Lamar County,Mississippi,38.2%,35.1%,71.0%,18.0%,11.0%
Lauderdale County,Mississippi,31.8%,42.0%,63.7%,20.8%,15.5%
Lawrence County,Mississippi,35.5%,45.4%,70.1%,6.5%,23.4%
Leake County,Mississippi,32.2%,44.0%,67.5%,7.6%,24.9%
Lee County,Mississippi,32.2%,38.4%,72.8%,16.6%,10.7%
Leflore County,Mississippi,30.7%,41.1%,76.7%,17.8%,5.5%
Lincoln County,Mississippi,32.6%,41.8%,66.8%,7.5%,25.7%
Lowndes County,Mississippi,30.4%,40.3%,75.1%,16.0%,8.9%
Madison County,Mississippi,34.9%,34.4%,77.1%,18.9%,4.0%
Marion County,Mississippi,25.4%,47.0%,67.9%,7.1%,25.0%
Marshall County,Mississippi,28.9%,43.5%,72.7%,6.5%,20.8%
Monroe County,Mississippi,29.3%,46.8%,72.4%,8.4%,19.1%
Montgomery County,Mississippi,26.0%,45.3%,80.6%,5.2%,14.2%
Neshoba County,Mississippi,34.5%,40.9%,71.1%,6.4%,22.6%
Newton County,Mississippi,34.0%,42.6%,70.0%,5.5%,24.6%
Noxubee County,Mississippi,33.4%,44.0%,62.1%,6.8%,31.1%
Oktibbeha County,Mississippi,25.0%,31.5%,55.9%,33.5%,10.6%
Panola County,Mississippi,30.3%,46.7%,66.4%,7.0%,26.6%
Pearl River County,Mississippi,33.2%,45.7%,74.6%,9.0%,16.4%
Perry County,Mississippi,31.7%,44.9%,66.8%,4.7%,28.5%
Pike County,Mississippi,24.8%,42.6%,67.1%,13.8%,19.1%
Pontotoc County,Mississippi,37.0%,41.5%,72.7%,4.6%,22.7%
Prentiss County,Mississippi,32.1%,45.8%,74.4%,9.6%,16.0%
Quitman County,Mississippi,25.7%,42.4%,73.0%,14.5%,12.4%
Rankin County,Mississippi,34.8%,36.8%,75.6%,10.5%,13.9%
Scott County,Mississippi,37.9%,41.0%,64.5%,7.6%,28.0%
Sharkey County,Mississippi,38.0%,41.9%,55.7%,14.1%,30.3%
Simpson County,Mississippi,32.5%,49.3%,71.1%,6.0%,22.9%
Smith County,Mississippi,28.3%,46.9%,66.9%,3.3%,29.7%
Stone County,Mississippi,35.4%,46.7%,75.7%,5.5%,18.8%
Sunflower County,Mississippi,34.0%,39.2%,78.5%,16.9%,4.6%
Tallahatchie County,Mississippi,28.1%,43.6%,69.0%,7.0%,24.0%
Tate County,Mississippi,37.5%,42.7%,74.7%,5.4%,19.9%
Tippah County,Mississippi,29.5%,38.9%,73.1%,6.7%,20.2%
Tishomingo County,Mississippi,25.7%,47.5%,76.0%,10.5%,13.5%
Tunica County,Mississippi,33.4%,33.7%,39.8%,38.3%,21.9%
Union County,Mississippi,30.3%,44.8%,73.1%,6.6%,20.3%
Walthall County,Mississippi,28.2%,47.9%,72.5%,2.4%,25.2%
Warren County,Mississippi,28.3%,44.0%,69.4%,16.7%,13.9%
Washington County,Mississippi,31.3%,43.6%,75.7%,16.2%,8.1%
Wayne County,Mississippi,30.3%,50.2%,71.2%,4.2%,24.6%
Webster County,Mississippi,33.0%,45.0%,75.6%,8.4%,16.0%
Wilkinson County,Mississippi,24.6%,47.5%,64.9%,5.0%,30.1%
Winston County,Mississippi,26.5%,50.5%,75.8%,6.1%,18.0%
Yalobusha County,Mississippi,22.4%,50.6%,70.7%,6.0%,23.4%
Yazoo County,Mississippi,33.6%,44.9%,68.4%,12.7%,19.0%
Adair County,Missouri,23.2%,33.9%,73.6%,20.9%,5.5%
Andrew County,Missouri,30.0%,46.1%,86.2%,8.8%,5.1%
Atchison County,Missouri,24.8%,46.3%,87.6%,10.3%,2.1%
Audrain County,Missouri,28.2%,44.6%,84.0%,10.0%,6.0%
Barry County,Missouri,29.6%,49.9%,77.7%,6.5%,15.8%
Barton County,Missouri,31.0%,46.2%,79.8%,9.4%,10.8%
Bates County,Missouri,30.7%,43.9%,79.6%,9.1%,11.3%
Benton County,Missouri,19.2%,60.9%,76.9%,5.7%,17.4%
Bollinger County,Missouri,24.1%,50.0%,85.2%,3.8%,10.9%
Boone County,Missouri,27.8%,30.5%,64.0%,32.1%,4.0%
Buchanan County,Missouri,29.3%,40.0%,78.5%,17.9%,3.6%
Butler County,Missouri,30.2%,47.0%,76.2%,11.5%,12.3%
Caldwell County,Missouri,29.6%,45.5%,82.4%,8.4%,9.2%
Callaway County,Missouri,30.7%,43.9%,74.4%,12.0%,13.6%
Camden County,Missouri,20.8%,56.4%,74.5%,14.4%,11.1%
Cape Girardeau County,Missouri,27.0%,38.7%,75.8%,18.3%,5.9%
Carroll County,Missouri,30.1%,49.3%,88.9%,5.3%,5.8%
Carter County,Missouri,27.5%,43.1%,76.9%,7.9%,15.2%
Cass County,Missouri,32.9%,41.5%,86.2%,9.5%,4.3%
Cedar County,Missouri,26.8%,49.1%,72.9%,10.3%,16.8%
Chariton County,Missouri,26.6%,50.0%,84.4%,8.2%,7.5%
Christian County,Missouri,38.5%,37.4%,86.6%,9.4%,4.1%
Clark County,Missouri,25.3%,46.9%,79.6%,6.4%,14.1%
Clay County,Missouri,33.8%,35.8%,78.8%,19.4%,1.9%
Clinton County,Missouri,35.9%,40.4%,89.5%,7.2%,3.3%
Cole County,Missouri,29.1%,40.7%,75.3%,23.1%,1.6%
Cooper County,Missouri,30.4%,41.8%,83.5%,10.2%,6.3%
Crawford County,Missouri,25.9%,44.4%,74.6%,8.7%,16.8%
Dade County,Missouri,25.0%,52.1%,80.7%,4.5%,14.8%
Dallas County,Missouri,28.6%,48.7%,75.8%,6.6%,17.5%
Daviess County,Missouri,34.6%,48.2%,86.0%,5.4%,8.6%
DeKalb County,Missouri,24.4%,46.7%,77.6%,15.8%,6.6%
Dent County,Missouri,30.2%,47.2%,69.6%,11.3%,19.1%
Douglas County,Missouri,22.9%,53.3%,85.4%,2.8%,11.8%
Dunklin County,Missouri,32.8%,41.8%,77.4%,13.1%,9.5%
Franklin County,Missouri,32.6%,41.6%,81.2%,11.2%,7.6%
Gasconade County,Missouri,27.5%,48.1%,83.9%,7.8%,8.3%
Gentry County,Missouri,29.2%,42.3%,82.9%,8.9%,8.3%
Greene County,Missouri,26.0%,35.2%,74.9%,21.9%,3.1%
Grundy County,Missouri,24.5%,47.5%,82.2%,11.6%,6.1%
Harrison County,Missouri,26.8%,48.6%,77.8%,14.6%,7.6%
Henry County,Missouri,30.0%,48.6%,77.2%,11.5%,11.4%
Hickory County,Missouri,15.5%,67.9%,62.1%,2.8%,35.1%
Holt County,Missouri,25.2%,51.8%,81.3%,8.8%,10.0%
