County,State,Use car/truck/van to go to work,Drove alone,Carpooled,Public Transportation,Walked,Bicycle,Taxicab/motorcycle/other means,Worked from home,Worked within county of residence,Worked outside county of residence,Travel time to work less than 10 minutes,Travel time to work 10 to 14 minutes,Travel time to work 15 to 19 minutes,Travel time to work 20 to 24 minutes,Travel time to work 25 to 29 minutes,Travel time to work 30 to 34 minutes,Travel time to work 35 to 44 minutes,Travel time to work 45 to 59 minutes,Travel time to work 60+ minutes,Mean travel time to work (minutes),0 vehicles available,1 vehicles available,2 vehicles available,3+ vehicles available
Meigs County,Tennessee,90.6%,75.7%,14.9%,0.4%,5.2%,0.0%,2.5%,1.4%,36.0%,61.1%,17.5%,11.5%,11.0%,9.8%,4.7%,16.1%,6.2%,8.8%,14.4%,29.4,1.6%,15.2%,36.1%,47.1%
Monroe County,Tennessee,95.2%,84.8%,10.4%,0.0%,1.8%,0.0%,0.6%,2.4%,62.4%,36.1%,15.4%,12.1%,12.7%,13.4%,8.2%,14.1%,7.0%,10.6%,6.6%,25.8,1.3%,14.7%,42.5%,41.6%
Montgomery County,Tennessee,94.4%,84.7%,9.7%,0.5%,1.7%,0.1%,1.1%,2.3%,62.3%,12.0%,10.4%,14.8%,19.7%,17.5%,6.7%,12.3%,4.6%,7.0%,6.9%,24.4,1.7%,18.5%,47.7%,32.1%
Moore County,Tennessee,95.7%,89.1%,6.6%,0.0%,0.6%,0.7%,0.4%,2.5%,28.5%,66.3%,9.4%,8.0%,18.7%,19.0%,8.9%,15.5%,8.3%,7.1%,5.3%,25.9,0.0%,16.6%,34.3%,49.0%
Morgan County,Tennessee,93.2%,81.2%,11.9%,0.2%,2.1%,0.1%,1.4%,2.9%,40.3%,58.2%,10.6%,8.6%,11.8%,10.5%,6.6%,13.9%,8.9%,16.7%,12.4%,32.1,0.7%,12.3%,41.5%,45.5%
Obion County,Tennessee,95.6%,84.7%,10.9%,0.1%,1.0%,0.1%,1.0%,2.2%,74.5%,19.0%,23.7%,17.5%,16.6%,14.3%,4.1%,12.6%,3.1%,3.2%,4.9%,20.3,2.4%,19.7%,43.6%,34.3%
Overton County,Tennessee,95.2%,84.6%,10.6%,0.2%,0.3%,0.0%,0.4%,3.8%,52.0%,44.8%,12.1%,14.8%,10.2%,14.6%,4.1%,19.6%,6.9%,7.8%,9.8%,28.4,1.0%,16.1%,42.1%,40.8%
Perry County,Tennessee,94.4%,80.0%,14.4%,1.7%,1.5%,0.0%,0.0%,2.4%,68.3%,31.1%,22.6%,13.0%,13.1%,11.5%,3.6%,13.2%,4.4%,6.3%,12.1%,26.5,1.8%,14.7%,39.1%,44.4%
Pickett County,Tennessee,95.1%,85.2%,10.0%,0.0%,2.7%,0.0%,0.5%,1.7%,54.5%,32.1%,16.1%,15.5%,9.2%,10.5%,1.3%,11.6%,4.8%,20.2%,10.8%,29.4,2.5%,19.2%,43.7%,34.6%
Polk County,Tennessee,92.2%,77.4%,14.8%,0.1%,1.4%,0.0%,0.4%,5.8%,35.9%,50.4%,12.7%,5.7%,8.9%,18.4%,7.5%,20.2%,5.2%,11.7%,9.7%,30.0,1.9%,10.4%,32.4%,55.3%
Putnam County,Tennessee,94.8%,85.9%,8.9%,0.1%,1.5%,0.1%,0.8%,2.7%,87.2%,11.9%,16.3%,20.8%,18.4%,17.6%,3.5%,12.3%,2.7%,3.4%,5.0%,20.7,1.2%,16.9%,45.4%,36.5%
Rhea County,Tennessee,93.2%,80.6%,12.6%,0.0%,1.6%,0.0%,0.5%,4.7%,73.4%,23.8%,18.9%,17.5%,15.4%,11.1%,4.3%,8.3%,4.4%,9.9%,10.1%,25.8,1.8%,16.3%,38.5%,43.5%
Roane County,Tennessee,94.7%,83.4%,11.3%,0.2%,1.0%,0.2%,1.1%,2.8%,48.8%,49.7%,10.8%,13.1%,15.7%,14.0%,7.1%,15.3%,7.5%,11.3%,5.2%,26.1,0.7%,15.2%,40.5%,43.5%
Robertson County,Tennessee,93.3%,81.8%,11.5%,0.1%,0.6%,0.0%,1.0%,5.0%,43.8%,53.6%,11.9%,12.5%,11.0%,10.9%,5.9%,13.6%,9.6%,16.1%,8.4%,28.5,1.9%,12.6%,42.5%,43.1%
Rutherford County,Tennessee,94.6%,85.2%,9.4%,0.4%,1.3%,0.2%,0.7%,2.8%,64.0%,35.1%,11.4%,13.2%,16.4%,13.5%,6.0%,13.6%,7.7%,11.9%,6.4%,26.1,1.0%,16.4%,46.1%,36.6%
Scott County,Tennessee,96.4%,82.3%,14.1%,0.6%,0.5%,0.0%,1.3%,1.2%,77.6%,16.8%,19.4%,16.3%,16.1%,15.1%,2.2%,10.2%,1.4%,5.3%,14.0%,26.4,1.3%,14.4%,34.5%,49.8%
Sequatchie County,Tennessee,93.7%,82.3%,11.4%,0.0%,2.3%,0.0%,1.0%,3.0%,43.2%,54.1%,15.3%,14.2%,8.8%,8.0%,4.3%,11.6%,7.5%,22.0%,8.3%,28.4,0.5%,18.8%,30.6%,50.1%
Sevier County,Tennessee,93.7%,78.6%,15.2%,0.6%,1.7%,0.2%,0.7%,3.2%,76.3%,22.4%,11.6%,11.3%,15.1%,17.7%,8.0%,17.0%,7.3%,7.1%,4.9%,24.7,1.9%,16.6%,43.7%,37.8%
Shelby County,Tennessee,92.7%,81.7%,11.0%,1.8%,1.7%,0.1%,1.0%,2.7%,94.4%,1.1%,10.9%,13.9%,17.6%,19.7%,8.1%,16.6%,5.2%,4.8%,3.1%,22.4,3.6%,27.1%,41.9%,27.3%
Smith County,Tennessee,93.2%,83.2%,10.0%,0.1%,2.1%,0.0%,1.3%,3.3%,57.0%,42.3%,16.6%,10.3%,14.0%,12.8%,6.8%,12.0%,5.5%,10.3%,11.8%,27.8,0.7%,11.8%,39.6%,47.9%
Stewart County,Tennessee,92.5%,78.9%,13.7%,0.0%,0.9%,0.0%,3.2%,3.4%,52.5%,32.0%,14.0%,9.1%,14.4%,7.3%,5.9%,11.1%,9.5%,13.3%,15.5%,32.0,1.7%,15.0%,38.1%,45.1%
Sullivan County,Tennessee,95.4%,87.1%,8.3%,0.1%,1.1%,0.0%,0.7%,2.6%,70.6%,16.7%,15.0%,19.7%,20.2%,16.2%,6.1%,11.9%,4.2%,3.5%,3.1%,20.3,1.3%,16.0%,41.6%,41.2%
Sumner County,Tennessee,93.1%,82.1%,11.0%,0.3%,0.8%,0.1%,0.8%,4.9%,50.1%,46.8%,12.3%,13.5%,11.1%,11.9%,6.6%,15.6%,9.8%,11.4%,7.9%,27.6,1.0%,17.1%,41.3%,40.6%
Tipton County,Tennessee,96.0%,86.3%,9.7%,0.3%,1.0%,0.0%,0.9%,1.7%,37.1%,59.8%,11.4%,10.0%,12.1%,10.1%,4.1%,8.6%,9.7%,20.5%,13.5%,31.8,1.0%,15.3%,38.2%,45.5%
Trousdale County,Tennessee,93.5%,81.2%,12.2%,0.4%,1.5%,0.0%,1.6%,3.0%,31.7%,67.9%,19.1%,6.5%,7.0%,5.9%,5.3%,16.7%,10.4%,9.2%,19.7%,31.9,1.3%,16.4%,33.0%,49.2%
Unicoi County,Tennessee,91.7%,84.6%,7.1%,1.2%,1.4%,0.0%,1.6%,4.1%,54.4%,42.3%,19.7%,17.3%,16.5%,12.3%,5.5%,12.9%,4.4%,5.6%,5.8%,23.1,1.4%,17.7%,35.2%,45.8%
Union County,Tennessee,94.6%,83.3%,11.3%,0.2%,1.0%,0.0%,0.6%,3.6%,38.3%,60.7%,10.5%,9.1%,11.4%,7.2%,4.2%,17.4%,10.4%,17.1%,12.6%,32.4,1.2%,16.6%,34.7%,47.5%
Van Buren County,Tennessee,93.6%,85.7%,7.8%,0.4%,1.7%,0.0%,1.5%,2.9%,48.7%,49.2%,17.2%,11.2%,25.9%,9.6%,3.8%,17.4%,4.6%,6.9%,3.4%,21.8,2.6%,16.1%,29.2%,52.1%
Warren County,Tennessee,93.8%,85.8%,8.1%,0.1%,1.5%,0.0%,0.5%,4.2%,77.6%,22.2%,18.1%,16.6%,17.0%,14.7%,5.4%,9.3%,3.1%,7.3%,8.4%,23.9,1.2%,17.7%,41.1%,40.0%
Washington County,Tennessee,94.0%,86.5%,7.5%,0.3%,1.3%,0.1%,1.0%,3.5%,74.2%,23.1%,16.4%,19.8%,19.5%,15.8%,8.0%,10.9%,3.4%,3.0%,3.2%,20.0,1.5%,19.9%,44.4%,34.2%
Wayne County,Tennessee,96.0%,79.0%,17.0%,0.5%,1.5%,0.0%,0.1%,1.9%,66.3%,16.1%,21.8%,11.7%,13.1%,11.9%,3.6%,12.6%,7.9%,7.5%,9.9%,27.1,1.4%,11.0%,36.7%,51.0%
Weakley County,Tennessee,92.9%,85.1%,7.8%,0.3%,2.8%,0.1%,1.3%,2.5%,64.4%,31.8%,22.8%,16.7%,15.9%,16.1%,5.3%,9.6%,3.5%,3.4%,6.7%,21.0,1.4%,18.2%,45.8%,34.6%
White County,Tennessee,93.2%,80.8%,12.3%,0.2%,0.7%,0.0%,0.9%,5.0%,64.1%,34.9%,13.2%,18.6%,18.4%,16.7%,5.5%,14.7%,3.7%,2.5%,6.5%,23.3,1.4%,17.3%,40.4%,40.9%
Williamson County,Tennessee,90.0%,79.7%,10.3%,0.4%,0.6%,0.1%,1.0%,7.9%,54.8%,42.6%,9.4%,11.8%,12.8%,14.3%,7.9%,18.2%,10.6%,10.5%,4.6%,27.0,0.8%,10.8%,50.4%,38.1%
Wilson County,Tennessee,93.4%,84.1%,9.3%,0.7%,0.7%,0.1%,1.0%,4.1%,46.0%,52.7%,8.9%,12.4%,12.5%,13.4%,7.5%,16.5%,8.8%,13.5%,6.3%,27.8,1.5%,12.5%,44.1%,41.8%
Anderson County,Texas,94.9%,82.4%,12.6%,0.5%,1.5%,0.1%,0.7%,2.2%,78.9%,20.7%,18.5%,19.2%,17.3%,10.7%,7.0%,8.8%,5.0%,6.1%,7.5%,23.8,2.0%,22.3%,43.2%,32.4%
Andrews County,Texas,92.3%,79.6%,12.7%,0.7%,2.0%,0.0%,2.1%,2.8%,80.1%,17.3%,40.2%,21.6%,8.0%,3.4%,0.6%,6.2%,5.0%,4.8%,10.3%,21.7,2.6%,14.9%,36.7%,45.9%
Angelina County,Texas,94.2%,80.9%,13.2%,0.4%,1.7%,0.1%,1.9%,1.7%,86.2%,12.6%,20.1%,22.3%,21.6%,12.3%,3.4%,8.9%,2.9%,2.8%,5.6%,20.8,2.2%,23.2%,43.9%,30.7%
Aransas County,Texas,90.0%,75.6%,14.4%,0.0%,2.9%,0.2%,1.0%,5.9%,67.2%,31.4%,29.4%,22.3%,14.5%,9.6%,3.8%,4.3%,3.4%,9.4%,3.1%,18.6,1.8%,25.9%,49.0%,23.3%
Archer County,Texas,93.8%,83.9%,9.9%,0.0%,1.4%,0.0%,0.7%,4.1%,38.0%,61.0%,27.8%,12.1%,16.6%,17.2%,7.1%,11.0%,2.5%,2.5%,3.1%,19.3,1.5%,15.5%,43.2%,39.8%
Armstrong County,Texas,93.4%,80.0%,13.4%,0.0%,0.0%,0.0%,1.8%,4.8%,42.0%,56.6%,30.8%,1.0%,1.7%,6.3%,9.3%,24.1%,14.3%,6.2%,6.3%,26.5,1.0%,13.2%,43.8%,42.0%
Atascosa County,Texas,94.1%,77.8%,16.2%,0.4%,2.7%,0.0%,0.9%,2.0%,43.9%,55.3%,16.9%,9.6%,9.5%,6.8%,3.4%,12.8%,7.5%,17.2%,16.4%,32.7,1.8%,19.5%,40.1%,38.6%
Austin County,Texas,88.1%,78.5%,9.6%,0.3%,3.0%,0.2%,0.9%,7.6%,57.2%,41.7%,22.5%,13.7%,11.8%,10.4%,4.1%,10.3%,5.9%,5.8%,15.5%,28.1,2.5%,14.6%,46.8%,36.2%
Bailey County,Texas,94.0%,73.2%,20.8%,0.0%,0.2%,0.8%,1.6%,3.4%,75.4%,19.0%,48.5%,11.8%,10.3%,10.8%,2.3%,9.2%,2.9%,0.6%,3.5%,14.1,2.1%,19.8%,34.2%,43.8%
Bandera County,Texas,88.2%,76.8%,11.4%,0.0%,3.6%,0.1%,1.1%,6.9%,42.9%,56.0%,18.0%,7.8%,7.8%,4.5%,4.2%,13.1%,8.0%,21.3%,15.3%,32.8,1.0%,17.0%,42.2%,39.9%
Bastrop County,Texas,93.6%,77.0%,16.6%,0.2%,1.0%,0.2%,1.8%,3.2%,40.7%,58.7%,12.5%,10.1%,8.3%,6.9%,3.5%,13.2%,11.6%,19.1%,14.9%,33.9,1.3%,15.8%,47.2%,35.7%
Baylor County,Texas,94.1%,81.2%,13.0%,0.0%,0.0%,0.0%,0.7%,5.2%,83.0%,15.6%,52.8%,14.0%,7.3%,6.4%,2.1%,5.9%,1.1%,4.3%,6.1%,17.6,3.0%,21.8%,42.7%,32.4%
Bee County,Texas,90.0%,77.8%,12.3%,0.6%,2.4%,0.3%,1.4%,5.2%,79.9%,19.9%,29.7%,25.8%,14.6%,6.2%,1.6%,7.8%,1.4%,2.7%,10.2%,20.3,1.5%,23.7%,45.2%,29.6%
Bell County,Texas,92.7%,81.8%,10.9%,0.3%,2.7%,0.1%,1.4%,2.7%,89.7%,8.8%,16.2%,22.1%,23.0%,16.0%,4.8%,8.1%,3.1%,3.5%,3.2%,18.7,2.0%,22.9%,46.8%,28.3%
Bexar County,Texas,90.3%,79.0%,11.3%,2.8%,2.2%,0.1%,1.6%,3.1%,95.2%,4.1%,9.7%,12.8%,17.5%,18.2%,8.0%,17.4%,6.2%,5.8%,4.5%,24.1,3.4%,24.2%,43.6%,28.9%
Blanco County,Texas,87.6%,73.1%,14.5%,0.0%,1.1%,0.4%,0.6%,10.2%,57.3%,42.3%,28.2%,9.9%,14.5%,5.9%,6.1%,4.8%,5.5%,8.8%,16.3%,26.7,1.1%,15.9%,43.7%,39.3%
Borden County,Texas,79.0%,75.9%,3.1%,0.7%,4.5%,0.0%,0.0%,15.8%,48.1%,51.9%,40.4%,2.4%,4.5%,10.2%,0.0%,22.0%,8.2%,4.9%,7.3%,21.6,3.4%,22.3%,39.5%,34.7%
Bosque County,Texas,93.5%,80.1%,13.4%,0.4%,3.6%,0.0%,0.9%,1.7%,50.7%,47.5%,27.0%,11.2%,6.4%,9.2%,4.9%,11.7%,7.5%,10.9%,11.2%,27.2,1.7%,15.7%,46.6%,36.0%
Bowie County,Texas,92.9%,79.8%,13.1%,0.2%,2.1%,0.4%,1.8%,2.6%,81.7%,3.7%,20.4%,23.5%,21.8%,13.1%,4.7%,8.8%,2.8%,2.5%,2.4%,17.5,2.3%,22.8%,41.4%,33.5%
Brazoria County,Texas,94.3%,83.1%,11.2%,0.2%,1.1%,0.2%,1.5%,2.7%,53.3%,45.9%,11.8%,10.7%,12.1%,12.3%,5.8%,15.9%,8.7%,12.9%,9.8%,28.7,1.4%,18.0%,47.5%,33.1%
Brazos County,Texas,88.1%,76.0%,12.1%,2.8%,2.8%,1.8%,1.6%,2.9%,91.6%,7.9%,17.6%,25.6%,26.2%,15.6%,3.1%,5.3%,1.4%,2.1%,3.1%,17.3,3.8%,21.5%,42.3%,32.5%
Brewster County,Texas,82.7%,69.8%,12.9%,0.2%,7.0%,3.1%,2.4%,4.6%,93.3%,6.7%,53.6%,21.3%,7.8%,3.9%,3.1%,3.9%,0.7%,2.4%,3.2%,13.5,7.1%,31.9%,38.1%,22.9%
Briscoe County,Texas,89.0%,72.6%,16.3%,0.0%,2.1%,0.0%,0.0%,8.9%,59.9%,31.9%,32.9%,16.2%,10.5%,7.5%,0.0%,5.7%,8.0%,7.2%,11.9%,22.1,0.1%,13.9%,44.3%,41.7%
Brooks County,Texas,87.7%,71.3%,16.5%,0.6%,4.1%,0.0%,0.0%,7.6%,76.2%,23.4%,41.1%,14.3%,14.6%,8.6%,0.6%,5.4%,0.4%,8.3%,6.6%,18.6,2.4%,40.4%,29.7%,27.5%
Brown County,Texas,93.1%,83.6%,9.5%,0.1%,2.3%,0.0%,1.7%,2.8%,94.3%,4.6%,21.5%,30.1%,18.9%,15.5%,3.1%,6.1%,1.1%,0.9%,2.8%,16.6,1.5%,20.8%,45.1%,32.5%
Burleson County,Texas,94.5%,78.9%,15.6%,0.0%,0.6%,0.0%,0.8%,4.0%,49.5%,50.2%,16.3%,8.7%,12.8%,9.1%,8.1%,20.8%,9.4%,6.7%,8.0%,28.8,0.4%,18.2%,39.9%,41.4%
Burnet County,Texas,89.3%,72.7%,16.7%,0.0%,0.4%,0.0%,1.6%,8.7%,69.8%,30.0%,16.1%,15.0%,14.9%,13.7%,6.2%,10.6%,3.8%,7.6%,12.0%,26.8,1.2%,17.7%,46.4%,34.7%
Caldwell County,Texas,92.5%,74.5%,18.0%,0.5%,1.2%,0.0%,0.9%,4.9%,40.0%,59.2%,18.8%,9.8%,10.2%,8.8%,4.0%,11.2%,5.0%,16.7%,15.5%,29.8,1.4%,16.7%,46.1%,35.8%
Calhoun County,Texas,95.3%,80.6%,14.7%,1.3%,1.2%,0.0%,0.8%,1.4%,79.5%,18.9%,32.6%,18.1%,13.2%,11.4%,3.0%,5.9%,3.7%,7.5%,4.6%,19.4,4.2%,17.2%,51.8%,26.8%
Callahan County,Texas,91.4%,73.7%,17.7%,0.1%,1.8%,0.1%,2.8%,3.8%,32.7%,64.6%,23.6%,6.7%,7.7%,19.8%,8.7%,20.1%,1.6%,7.7%,4.1%,23.1,3.3%,21.1%,41.7%,33.9%
Cameron County,Texas,92.5%,78.2%,14.3%,0.7%,2.1%,0.2%,2.0%,2.5%,91.2%,6.9%,14.7%,20.9%,21.2%,15.7%,5.6%,11.1%,3.6%,4.0%,3.2%,19.9,3.2%,26.5%,42.3%,28.1%
Camp County,Texas,94.0%,82.3%,11.7%,0.4%,3.1%,0.0%,0.8%,1.7%,53.5%,46.5%,24.6%,16.4%,15.1%,12.0%,4.5%,12.2%,4.3%,3.4%,7.4%,21.7,1.6%,22.2%,35.9%,40.3%
Carson County,Texas,92.1%,82.2%,9.9%,0.0%,2.1%,0.3%,2.2%,3.3%,40.0%,59.6%,30.4%,9.6%,13.7%,10.6%,4.0%,9.3%,9.8%,6.3%,6.2%,20.8,1.5%,10.9%,39.7%,47.9%
Cass County,Texas,93.6%,81.2%,12.4%,0.1%,1.6%,0.0%,1.6%,3.1%,60.6%,32.4%,21.2%,13.5%,13.8%,10.3%,3.1%,11.4%,6.8%,8.6%,11.3%,28.4,1.9%,16.1%,42.9%,39.2%
Castro County,Texas,91.1%,76.5%,14.6%,1.0%,1.2%,0.0%,0.6%,6.1%,70.2%,29.8%,40.0%,13.6%,15.2%,5.8%,5.7%,7.7%,4.1%,2.8%,5.2%,18.1,2.4%,20.6%,43.0%,34.0%
Chambers County,Texas,96.1%,88.1%,8.1%,0.0%,1.4%,0.0%,0.6%,1.8%,31.2%,66.6%,14.6%,9.9%,11.0%,13.3%,5.7%,13.3%,8.7%,12.5%,11.0%,29.9,1.1%,10.5%,51.0%,37.3%
Cherokee County,Texas,93.8%,83.1%,10.7%,0.0%,1.6%,0.0%,1.1%,3.5%,70.7%,27.6%,28.4%,18.5%,15.1%,8.9%,3.8%,8.9%,5.3%,5.0%,6.2%,20.6,1.4%,24.8%,47.3%,26.4%
Childress County,Texas,88.8%,74.7%,14.1%,0.0%,2.3%,2.2%,2.1%,4.7%,89.6%,8.4%,52.5%,21.7%,10.6%,7.1%,0.2%,5.0%,0.4%,1.6%,1.0%,10.7,2.9%,21.2%,53.0%,22.9%
Clay County,Texas,92.1%,80.2%,11.9%,0.2%,2.2%,0.0%,0.4%,5.1%,31.3%,67.3%,22.9%,6.6%,9.7%,12.1%,10.5%,20.7%,8.2%,4.4%,4.9%,24.0,0.6%,15.4%,42.3%,41.6%
Cochran County,Texas,87.4%,70.2%,17.2%,0.9%,2.4%,0.0%,2.8%,6.5%,68.3%,30.7%,36.4%,10.2%,13.3%,8.9%,2.2%,11.9%,2.0%,2.4%,12.8%,21.0,2.1%,15.5%,42.5%,39.8%
Coke County,Texas,87.3%,77.0%,10.3%,0.0%,2.1%,0.0%,1.3%,9.3%,63.2%,36.8%,39.7%,9.2%,10.5%,8.0%,0.5%,4.1%,9.7%,14.6%,3.5%,20.6,1.8%,21.0%,47.7%,29.5%
Coleman County,Texas,94.0%,82.5%,11.5%,0.0%,0.8%,0.1%,0.3%,4.8%,72.3%,27.0%,37.2%,11.6%,9.7%,13.1%,1.2%,10.4%,4.2%,3.8%,9.0%,24.1,1.9%,21.2%,48.9%,27.9%
Collin County,Texas,89.2%,81.5%,7.7%,1.3%,0.9%,0.1%,1.7%,6.8%,54.8%,44.2%,9.3%,11.6%,13.6%,14.6%,6.3%,15.6%,8.9%,11.7%,8.4%,27.8,1.4%,19.5%,51.8%,27.3%
Collingsworth County,Texas,87.4%,70.0%,17.4%,0.0%,5.9%,0.9%,0.7%,5.1%,80.5%,17.0%,52.6%,15.1%,11.1%,4.7%,0.4%,5.3%,0.9%,5.9%,4.0%,14.0,5.5%,23.7%,42.2%,28.7%
Colorado County,Texas,91.3%,76.9%,14.4%,0.2%,2.6%,0.0%,0.8%,5.2%,65.9%,34.0%,27.3%,14.1%,11.9%,13.0%,2.0%,11.5%,2.8%,4.7%,12.7%,26.3,1.6%,21.2%,38.8%,38.5%
Comal County,Texas,91.1%,78.8%,12.2%,0.1%,1.4%,0.2%,1.7%,5.6%,52.0%,46.5%,14.2%,15.0%,11.6%,9.8%,4.9%,12.9%,7.2%,13.2%,11.2%,28.7,1.5%,14.1%,46.7%,37.7%
Comanche County,Texas,87.4%,75.3%,12.1%,0.0%,2.9%,0.0%,2.0%,7.7%,69.1%,30.6%,30.6%,19.2%,11.0%,6.4%,2.4%,12.7%,5.2%,5.8%,6.8%,22.5,1.5%,22.6%,45.0%,30.9%
Concho County,Texas,90.6%,71.3%,19.4%,0.0%,5.5%,0.0%,0.2%,3.7%,67.7%,31.4%,47.8%,9.4%,3.2%,5.4%,3.3%,10.9%,5.8%,5.4%,8.8%,20.3,0.0%,17.2%,45.7%,37.1%
Cooke County,Texas,90.8%,74.6%,16.2%,0.7%,1.8%,0.1%,1.1%,5.7%,64.6%,29.3%,22.1%,17.0%,13.7%,10.5%,3.2%,10.0%,6.1%,6.7%,10.7%,25.6,1.0%,17.4%,45.4%,36.2%
Coryell County,Texas,88.9%,75.0%,13.9%,0.4%,6.8%,0.1%,1.4%,2.4%,41.6%,55.8%,24.8%,18.3%,15.4%,13.9%,6.4%,7.6%,3.4%,6.1%,4.2%,19.9,1.3%,19.0%,43.0%,36.7%
Cottle County,Texas,91.9%,80.2%,11.7%,0.5%,3.5%,0.0%,0.7%,3.4%,70.4%,26.4%,47.9%,12.9%,4.0%,4.0%,0.0%,14.7%,10.1%,0.5%,5.8%,17.1,4.2%,13.3%,42.6%,39.9%
Crane County,Texas,94.6%,82.6%,12.0%,0.0%,0.0%,0.0%,1.6%,3.8%,68.1%,31.5%,49.0%,6.5%,4.0%,5.4%,2.0%,8.3%,7.2%,7.3%,10.3%,22.6,1.1%,15.7%,50.7%,32.5%
Crockett County,Texas,92.3%,90.4%,1.9%,0.0%,0.0%,0.0%,3.9%,3.7%,87.9%,12.1%,38.1%,18.6%,19.1%,0.9%,0.7%,6.0%,1.3%,5.9%,9.4%,18.8,1.0%,16.6%,54.7%,27.7%
Crosby County,Texas,90.6%,77.7%,12.9%,0.7%,3.7%,0.4%,0.1%,4.5%,65.1%,34.6%,41.9%,9.6%,7.4%,5.6%,2.1%,11.3%,7.4%,12.2%,2.3%,18.9,0.5%,26.8%,37.3%,35.4%
Culberson County,Texas,92.0%,83.5%,8.5%,0.8%,1.9%,0.0%,2.4%,2.9%,93.9%,4.1%,74.6%,12.1%,7.3%,2.0%,1.7%,0.6%,0.0%,0.0%,1.7%,8.1,15.2%,18.1%,45.1%,21.6%
Dallam County,Texas,78.2%,64.8%,13.4%,0.0%,4.5%,0.3%,7.5%,9.5%,74.7%,24.4%,53.7%,13.3%,13.8%,6.0%,2.6%,5.2%,0.8%,1.8%,2.9%,12.3,1.1%,25.8%,32.0%,41.1%
Dallas County,Texas,90.8%,78.7%,12.1%,3.0%,1.6%,0.1%,1.2%,3.3%,84.0%,15.3%,9.5%,12.7%,15.4%,15.8%,6.7%,18.4%,6.7%,8.2%,6.5%,25.7,3.3%,27.5%,43.3%,26.0%
Dawson County,Texas,94.2%,85.1%,9.1%,0.1%,1.2%,0.0%,1.8%,2.8%,90.0%,9.7%,54.0%,17.6%,11.7%,6.1%,2.3%,2.6%,1.3%,0.9%,3.5%,12.2,2.9%,24.1%,47.5%,25.5%
Deaf Smith County,Texas,94.2%,73.6%,20.6%,0.0%,0.8%,0.2%,0.3%,4.5%,84.8%,14.2%,38.0%,22.3%,12.7%,6.8%,1.0%,7.8%,1.7%,4.7%,5.1%,16.9,4.0%,20.5%,46.3%,29.2%
Delta County,Texas,89.4%,73.9%,15.5%,0.0%,1.3%,0.0%,0.8%,8.5%,32.2%,67.3%,15.4%,6.9%,10.0%,13.1%,9.4%,17.0%,4.8%,11.4%,12.1%,30.9,0.9%,15.6%,36.4%,47.1%
Denton County,Texas,91.3%,81.4%,9.9%,0.6%,1.4%,0.4%,1.0%,5.3%,43.8%,54.8%,10.8%,11.3%,13.4%,13.9%,6.4%,16.4%,9.3%,10.9%,7.6%,27.5,1.5%,18.4%,50.3%,29.9%
DeWitt County,Texas,91.0%,79.8%,11.2%,0.4%,1.8%,0.4%,1.5%,4.8%,69.4%,29.7%,39.9%,12.5%,9.5%,10.1%,2.4%,8.3%,2.8%,6.3%,8.2%,22.9,2.8%,20.6%,42.5%,34.1%
Dickens County,Texas,85.6%,77.0%,8.6%,0.5%,6.8%,0.0%,0.0%,7.1%,84.0%,15.6%,50.9%,19.9%,4.6%,4.6%,1.3%,6.6%,0.9%,5.1%,6.1%,15.1,1.4%,19.2%,33.2%,46.3%
Dimmit County,Texas,92.7%,77.8%,14.8%,1.2%,4.4%,0.0%,0.1%,1.6%,84.7%,15.3%,43.8%,17.0%,8.8%,3.7%,1.4%,7.1%,3.2%,6.4%,8.6%,22.7,2.1%,28.5%,36.8%,32.7%
Donley County,Texas,91.1%,81.4%,9.7%,0.6%,1.0%,0.4%,2.3%,4.6%,75.1%,24.2%,43.2%,23.3%,8.7%,4.4%,1.1%,2.9%,0.7%,4.6%,11.0%,17.1,0.0%,20.2%,40.9%,38.9%
Duval County,Texas,88.9%,71.5%,17.5%,0.0%,3.2%,0.0%,1.2%,6.6%,63.2%,36.8%,32.0%,12.9%,7.9%,11.6%,2.4%,11.4%,3.3%,5.4%,13.0%,26.2,5.5%,24.6%,36.3%,33.6%
Eastland County,Texas,92.2%,77.9%,14.3%,0.0%,2.8%,0.0%,0.8%,4.2%,81.6%,18.2%,37.3%,19.2%,11.1%,6.6%,2.5%,9.1%,3.1%,4.6%,6.4%,19.0,2.3%,24.2%,44.8%,28.7%
Ector County,Texas,94.4%,80.2%,14.2%,0.4%,1.2%,0.1%,1.2%,2.7%,82.1%,16.9%,19.5%,22.3%,23.5%,13.7%,3.1%,7.9%,2.5%,2.2%,5.2%,19.4,2.1%,22.6%,42.0%,33.2%
Edwards County,Texas,81.3%,66.4%,14.8%,0.0%,4.0%,0.0%,2.1%,12.7%,73.1%,26.9%,53.3%,9.5%,5.4%,0.7%,0.0%,6.4%,0.5%,10.8%,13.3%,23.6,1.3%,33.4%,38.6%,26.7%
Ellis County,Texas,94.1%,81.5%,12.6%,0.6%,0.9%,0.1%,0.8%,3.6%,50.2%,49.1%,15.1%,13.1%,11.4%,10.5%,5.7%,12.2%,7.9%,12.9%,11.2%,28.6,0.9%,13.5%,46.1%,39.6%
